topicId,topic,domainId,subdomain,subdomainId,domain,type
CSP-04-04,Contrast host-based and network-based intrusion detection systems.,CSP,Cyberattacks and detection,CSP-04,Cybersecurity Principles,Essential
CSP-04-05,Design several rules for a network-based intrusion detection system thatwill protect against specific known attacks.,CSP,Cyberattacks and detection,CSP-04,Cybersecurity Principles,Essential
CSP-04-06,Describe how the use of deception by malware is used to evade security mechanisms.,CSP,Cyberattacks and detection,CSP-04,Cybersecurity Principles,Essential
CSP-05-01,Make sense of the concepts of trust and trustworthiness.,CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-02,Describe how the principle of least privilege and isolationis applied to system design.,CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-03,Describe how the principles of fail-safe and deny-by-default fit high assurance systems.,CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-04,Describe how mediation and the Principle of Complete Mediation apply.,CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-05,Makesense of the concept of trusted computing including trusted computing base and attack surface and the principle of minimizing trusted computing base.,CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-06,"Describe how commercial approaches to delivering high-assurance services, including SE Linux, Security Enhanced hypervisors, role-",CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-07,"sed access systems, and digital signatures are applied to code and data.",CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-08,Document the role of formal methods in creating high assurance software and systems.,CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-05-09,Describe how Trusted Platform Modules (TPMs) are used in creating highassurance systems.,CSP,High assurance systems,CSP-05,Cybersecurity Principles,Essential
CSP-06-01,"Express the differencesbetween vulnerabilities, threats,and risk.",CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-02,Describe how security mechanisms can contain vulnerabilities.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-03,Use a risk management framework.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-04,Usepenetration-testing tools to identify a vulnerability.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-05,"Derive several benefits of defense in depth,e.g.,having multiple layers of defenses.",CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-06,Describe how security issues arise at boundaries between components.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-07,Use theNational Vulnerability Databaseto determine if software installed on a server or network component has a known vulnerability.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-08,"Recognize vulnerabilities, threats and risks that are distinct to network infrastructure, cloud computing servers, desktop computers, and",CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-09,bile devices.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-10,Use a buffer-overflow attack against a server that reads an unbounded data into a fixed-size data structure.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-06-11,Use a cross-site scripting attack against a server that does not properly sanitize user input prior to displaying the results in a browser.,CSP,"Vulnerabilities, threats,and risk",CSP-06,Cybersecurity Principles,Essential
CSP-07-01,Compare the limitations and strengths of anonymous communication and payment systems currently in use.,CSP,Anonymity systems,CSP-07,Cybersecurity Principles,Essential
CSP-07-02,Propose legitimate and illicit uses of anonymity systems.,CSP,Anonymity systems,CSP-07,Cybersecurity Principles,Essential
CSP-07-03,Model policies for prohibiting or using anonymity systems within an organization.,CSP,Anonymity systems,CSP-07,Cybersecurity Principles,Essential
CSP-07-04,"Use an anonymity system (e.g.,Tor).",CSP,Anonymity systems,CSP-07,Cybersecurity Principles,Essential
CSP-07-05,Document the kind of information not protected by ananonymous communicationsystem.,CSP,Anonymity systems,CSP-07,Cybersecurity Principles,Essential
CSP-07-06,Evaluate the impact of search queries on maintaining anonymity.,CSP,Anonymity systems,CSP-07,Cybersecurity Principles,Essential
CSP-07-07,Evaluate the implications of DNS queries on maintaining anonymity.,CSP,Anonymity systems,CSP-07,Cybersecurity Principles,Essential
CSP-08-01,Describe how the concept of “psychological acceptability” and the importance of usability impact security mechanism design.,CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-02,Make sense of research studies that consistently demonstrate that a trust-oriented interface design can facilitate the development of more trustworthy systems.,CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-03,Design a user interface for a security mechanism.,CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-04,"Analyze a security policy and/or procedure to show where it considers, or fails to consider, human factors.",CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-05,Critique the abilityof complex password policies to achieve the desired goal of preventing unauthorized access to sensitive systems.,CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-06,"Recognize the differences between erasing pointers to information and overwriting the information as they apply to file systems,",CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-07,"tabases, andcloud storage.",CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-08,Judge the effectiveness of an authentication mechanism from the perspective of a person who is visually impaired.,CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-08-09,Design and develop software suite for a new digital currency.,CSP,Usable security,CSP-08,Cybersecurity Principles,Essential
CSP-09-01,"Exhibitcomprehension of the terms encryption, decryption, key, public key cryptography, symmetric cryptography, algorithm, key",CSP,Cryptography overview,CSP-09,Cybersecurity Principles,Essential
CSP-09-02,"ngth, key escrow, key recover, key splitting, random number generator, nonce, initialization vector, cryptographic mode, plaintext,",CSP,Cryptography overview,CSP-09,Cybersecurity Principles,Essential
CSP-09-03,"pher text, S/MIME, PGP, IPsec, TLS.",CSP,Cryptography overview,CSP-09,Cybersecurity Principles,Essential
CSP-09-04,"Contrast encryption, digital signatures, and hash functions.",CSP,Cryptography overview,CSP-09,Cybersecurity Principles,Essential
CSP-09-05,Compare encryption for data at rest and data in motion.,CSP,Cryptography overview,CSP-09,Cybersecurity Principles,Essential
CSP-09-06,"Make sense of block-level encryption, file-level encryption, and application-level encryption for encrypted storage.",CSP,Cryptography overview,CSP-09,Cybersecurity Principles,Essential
CSP-09-07,"Argueforwhy it is preferred to use validated, proven algorithms and implementations rather than developing new ones.",CSP,Cryptography overview,CSP-09,Cybersecurity Principles,Essential
CSP-10-01,Tell a story of how malware is concealed and the impact that malware might haveon a system.,CSP,Malware fundamentals,CSP-10,Cybersecurity Principles,Essential
CSP-10-02,Use signature-based or behavior detection malware countermeasures to address malware infection mechanisms.,CSP,Malware fundamentals,CSP-10,Cybersecurity Principles,Essential
CSP-10-03,Propose where within the architectures of organization’s information systems it might be most effective to provide protectionfrom,CSP,Malware fundamentals,CSP-10,Cybersecurity Principles,Essential
CSP-10-04,lware.,CSP,Malware fundamentals,CSP-10,Cybersecurity Principles,Essential
CSP-10-05,"Debug a system (network, computer, or application) for the presence of malware.",CSP,Malware fundamentals,CSP-10,Cybersecurity Principles,Essential
CSP-10-06,Use techniques for safely isolating malware samples from infected systems and classifying the sample.,CSP,Malware fundamentals,CSP-10,Cybersecurity Principles,Essential
CSP-11-01,Discuss a riskmitigation and incident recovery plan.,CSP,Mitigation and recovery,CSP-11,Cybersecurity Principles,Essential
CSP-11-02,Perform a mitigation of a malware infection on an enterprise client and an enterprise server.,CSP,Mitigation and recovery,CSP-11,Cybersecurity Principles,Essential
CSP-11-03,Document the managerial and forensic steps for recovery after detecting a hostile insider.,CSP,Mitigation and recovery,CSP-11,Cybersecurity Principles,Essential
CSP-11-04,Contrast backup and recovery plans designed to protect against natural disasters from those designed to protect against hostile actors.,CSP,Mitigation and recovery,CSP-11,Cybersecurity Principles,Essential
CSP-11-05,Document examples of the steps taken after a credential is lost or compromised.,CSP,Mitigation and recovery,CSP-11,Cybersecurity Principles,Essential
CSP-11-06,Describe how supply chain risks could be reduced.,CSP,Mitigation and recovery,CSP-11,Cybersecurity Principles,Essential
CSP-12-01,"Make sense of the terms Personal Information, Personally Identifiable Information, De-Identification, Anonymization, Pseudonym, Masking, and Unmasking.",CSP,Personal information,CSP-12,Cybersecurity Principles,Essential
CSP-12-02,Describe how the Fair Information Practices apply to personal information andhowonline entities collect and use personal information.,CSP,Personal information,CSP-12,Cybersecurity Principles,Essential
CSP-12-03,Classify several categories of personal information according to privacy and disclosure risk.,CSP,Personal information,CSP-12,Cybersecurity Principles,Essential
CSP-12-04,"Contrast policies for collecting, processing, storing, sharing, and disposing of personal information.",CSP,Personal information,CSP-12,Cybersecurity Principles,Essential
CSP-12-05,Illustrate the role and limitations of encryption for protecting personal information.,CSP,Personal information,CSP-12,Cybersecurity Principles,Essential
CSP-12-06,Make sense of policies and technologies for isolating personal data from enterprise data.,CSP,Personal information,CSP-12,Cybersecurity Principles,Essential
CSP-12-07,Analyze approaches for controlling access to personal information.,CSP,Personal information,CSP-12,Cybersecurity Principles,Essential
CSP-13-01,Show how one determines the exposure and plans for the recovery of a lost laptop and mobile device.,CSP,Operational issues,CSP-13,Cybersecurity Principles,Essential
CSP-13-02,Document standards that apply to an organization’s information security posture.,CSP,Operational issues,CSP-13,Cybersecurity Principles,Essential
CSP-13-03,Evaluate potentialvendors with respect to their security offerings.,CSP,Operational issues,CSP-13,Cybersecurity Principles,Essential
CSP-13-04,"Make meaning of emerging threats, vulnerabilities,and mitigations.",CSP,Operational issues,CSP-13,Cybersecurity Principles,Essential
CSP-13-05,Design a continuing education program.,CSP,Operational issues,CSP-13,Cybersecurity Principles,Essential
CSP-13-06,Make sense of the challenges of recruitmentand retentionof security personnel.,CSP,Operational issues,CSP-13,Cybersecurity Principles,Essential
CSP-13-07,Suggest andimplement digital currency extensions using relevant scripting techniques (colored coins paradigm),CSP,Operational issues,CSP-13,Cybersecurity Principles,Essential
CSP-14-01,Document legal and regulatory requirements for sharing of threat and breach information.,CSP,Reporting requirements,CSP-14,Cybersecurity Principles,Essential
CSP-14-02,"Contrast differentvulnerability disclosure policies, including “full disclosure,” and “responsible disclosure.”",CSP,Reporting requirements,CSP-14,Cybersecurity Principles,Essential
CSP-14-03,Make sense of the concept of privacy breach versus security breach and the governing rules that apply to both types of breach.,CSP,Reporting requirements,CSP-14,Cybersecurity Principles,Essential
GPP-01-01,Describe the nature of professionalism and its place in the field of information technology.,GPP,Perspectives and impact,GPP-01,Global Professional Practice,Essential
GPP-01-02,Contrast ethical and legal issues as related to information technology.,GPP,Perspectives and impact,GPP-01,Global Professional Practice,Essential
GPP-01-03,Describe how IT uses or benefits from social and professional issues.,GPP,Perspectives and impact,GPP-01,Global Professional Practice,Essential
GPP-02-01,Contrast the professional context of information technology and computing and adherence to ethical codes of conduct.,GPP,Professional issues and responsibilities,GPP-02,Global Professional Practice,Essential
GPP-02-02,"Describe and critique several historical, professional, ethical, and legal aspects of computing.",GPP,Professional issues and responsibilities,GPP-02,Global Professional Practice,Essential
GPP-03-01,Analyze the expanding role of IT governance and its effect onorganizations.,GPP,IT governance and resource management,GPP-03,Global Professional Practice,Essential
GPP-03-02,Be aware of management issues in IT governance.,GPP,IT governance and resource management,GPP-03,Global Professional Practice,Essential
GPP-03-03,Compare and contrastorganizational cultures and their impact on IT governance.,GPP,IT governance and resource management,GPP-03,Global Professional Practice,Essential
GPP-03-04,Justify the appropriate resources needed to administer the system.,GPP,IT governance and resource management,GPP-03,Global Professional Practice,Essential
GPP-03-05,Compare and contrastseveral alternative vendors of system resources.,GPP,IT governance and resource management,GPP-03,Global Professional Practice,Essential
GPP-03-06,Develop naming conventions for the resources in asystem.,GPP,IT governance and resource management,GPP-03,Global Professional Practice,Essential
GPP-03-07,Create and justify several appropriate policies and procedures to manage resources in a system.,GPP,IT governance and resource management,GPP-03,Global Professional Practice,Essential
GPP-04-01,Analyze the role of risk to an organization and ways to identify key risk factors.,GPP,Risk identification and evaluation,GPP-04,Global Professional Practice,Essential
GPP-04-02,Evaluate variousrisks and appropriate actions.,GPP,Risk identification and evaluation,GPP-04,Global Professional Practice,Essential
GPP-04-03,Design and build a risk matrix.,GPP,Risk identification and evaluation,GPP-04,Global Professional Practice,Essential
GPP-05-01,Analyze and critique ways to develop green IT policiesandstandards and learn to identify green IT.,GPP,Environmental issues,GPP-05,Global Professional Practice,Essential
GPP-05-02,Contrast several frameworks for green computing.,GPP,Environmental issues,GPP-05,Global Professional Practice,Essential
GPP-05-03,Describe several uses of green computing for improving energy efficiency.,GPP,Environmental issues,GPP-05,Global Professional Practice,Essential
GPP-06-01,"Evaluate the role of legal, ethical,and privacy issues within IT as it relates toorganizations.",GPP,"Ethical, legal,and privacy issues",GPP-06,Global Professional Practice,Essential
GPP-06-02,Reflect on whether existing laws need modification to keep up with technology.,GPP,"Ethical, legal,and privacy issues",GPP-06,Global Professional Practice,Essential
GPP-06-03,"Model a computer use policy that includes privacy, legal,and ethical considerations for all employees.",GPP,"Ethical, legal,and privacy issues",GPP-06,Global Professional Practice,Essential
GPP-06-04,Contrast ethical algorithms with algorithms that are ethically neutral.,GPP,"Ethical, legal,and privacy issues",GPP-06,Global Professional Practice,Essential
GPP-07-01,Describe the foundations of intellectual property.,GPP,Intellectual property,GPP-07,Global Professional Practice,Essential
GPP-07-02,Critique several transnational issues concerning intellectual property.,GPP,Intellectual property,GPP-07,Global Professional Practice,Essential
GPP-07-03,"Distinguish among employees, contractors, and consultants andofferthe implications of eachhiring class.",GPP,Intellectual property,GPP-07,Global Professional Practice,Essential
GPP-07-04,Compare software patents and contrast with other forms of intellectual property protection.,GPP,Intellectual property,GPP-07,Global Professional Practice,Essential
GPP-08-01,Describe the key components of a project plan.,GPP,Project management principles,GPP-08,Global Professional Practice,Essential
GPP-08-02,Show the importance of a cost/benefit analysis to the successful implementation of a project plan.,GPP,Project management principles,GPP-08,Global Professional Practice,Essential
GPP-08-03,Evaluate appropriate project planning and tracking tools.,GPP,Project management principles,GPP-08,Global Professional Practice,Essential
GPP-08-04,Illustrate how to identify the lessons learned in a project closeout and review session.,GPP,Project management principles,GPP-08,Global Professional Practice,Essential
GPP-09-01,Evaluate several strategies for effective professional communication in writing and in speaking.,GPP,Communications,GPP-09,Global Professional Practice,Essential
GPP-09-02,Create well-organized technical reports that are structured according to acceptable standards.,GPP,Communications,GPP-09,Global Professional Practice,Essential
GPP-09-03,Analyze and describe the role of communications within IT as well as in buildingrelationships with theorganizations.,GPP,Communications,GPP-09,Global Professional Practice,Essential
GPP-09-04,Illustrate several essential skills for communicating within a team environment.,GPP,Communications,GPP-09,Global Professional Practice,Essential
GPP-10-01,Analyze several skillsets neededto function effectively in a team environment.,GPP,Teamwork and conflict management,GPP-10,Global Professional Practice,Essential
GPP-10-02,Contrast several ways in whichindustry approaches teamwork toward a common goal.,GPP,Teamwork and conflict management,GPP-10,Global Professional Practice,Essential
GPP-10-03,Describe and critique several ways that conflict management aids in building stronger teams.,GPP,Teamwork and conflict management,GPP-10,Global Professional Practice,Essential
GPP-11-01,Evaluate viable skill sets essential to a career in IT.,GPP,Employability skills and careers in IT,GPP-11,Global Professional Practice,Essential
GPP-11-02,Illustrate the elements of a successful technical resume.,GPP,Employability skills and careers in IT,GPP-11,Global Professional Practice,Essential
GPP-11-03,Reflect on the need for industry experience within the IT field.,GPP,Employability skills and careers in IT,GPP-11,Global Professional Practice,Essential
GPP-11-04,Comparethe important elements needed for a strong interview for an IT position.,GPP,Employability skills and careers in IT,GPP-11,Global Professional Practice,Essential
GPP-12-01,Critique ways in which information systems supportsorganizationalrequirements.,GPP,Information systems principles,GPP-12,Global Professional Practice,Essential
GPP-12-02,"Describe the system development life cycle, its phases, and models.",GPP,Information systems principles,GPP-12,Global Professional Practice,Essential
GPP-12-03,Evaluate the effectiveness and efficiency of a system.,GPP,Information systems principles,GPP-12,Global Professional Practice,Essential
GPP-12-04,Contrast several high-level IT strategies to avoid obstacles to achieveorganizationalgoals.,GPP,Information systems principles,GPP-12,Global Professional Practice,Essential
IMA-01-01,Describe how data storage and retrieval has changed over time.,IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-02,Justify the advantages of a database approach compared to traditional file processing.,IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-03,Describe how the growth of theinternet and demands for information for users outside the organization (customers and suppliers),IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-04,pact data handling and processing.,IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-05,Tell a brief history of database models and their evolution.,IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-06,"Describe the role of data, information, and databases in organizations.",IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-07,"Compare and use key terms such as: information, data, database, database management system, metadata, and data mining.",IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-08,"Illustrate data quality, accuracy,and timeliness, and explain how their absence will impact organizations.",IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-09,"Describe mechanisms for data collection and their implications (automated data collection, input forms, sources).",IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-01-10,"Describe basic issues of data retention, including the need for retention, physical storage, backup,and security.",IMA,Perspectives and impact,IMA-01,Information Management,Essential
IMA-03-01,Design EntityRelationship diagrams based on appropriateorganizationalrules for a given scenario.,IMA,Data modeling,IMA-03,Information Management,Essential
IMA-03-02,Describe the relationship between a logical model and a physical model.,IMA,Data modeling,IMA-03,Information Management,Essential
IMA-03-03,Evaluate importance of database constraints.,IMA,Data modeling,IMA-03,Information Management,Essential
IMA-03-04,Design a physical model for the best performance including impact of normalization and indexes.,IMA,Data modeling,IMA-03,Information Management,Essential
IMA-03-05,Compare and contrast the differences and similarities between the relational and the dimensional data modeling (OLTP vs.OLAP).,IMA,Data modeling,IMA-03,Information Management,Essential
IMA-04-01,"Create, modify,and query database objects using the Structured Query Language (SQL).",IMA,Database query languages,IMA-04,Information Management,Essential
IMA-04-02,"Perform filtering and sorting data using various clauses including where, order by, between, like, group by,and having.",IMA,Database query languages,IMA-04,Information Management,Essential
IMA-04-03,Use joins to select data across multiple tables.,IMA,Database query languages,IMA-04,Information Management,Essential
IMA-04-04,Use embedded SQL queries.,IMA,Database query languages,IMA-04,Information Management,Essential
IMA-04-05,Perform calculations in a query using calculated fields and aggregate functions.,IMA,Database query languages,IMA-04,Information Management,Essential
IMA-04-06,Create updatable and non-updatable views.,IMA,Database query languages,IMA-04,Information Management,Essential
IMA-05-01,"Demonstrate select, project, union, intersection, set difference, and natural join relational operations using simple example relations provided.",IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-05-02,"Contrast and comparerelational databases concepts and non-relational databases including object-oriented, XML, NewSQL and NoSQL databases.",IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-05-03,"Express the relationship between functional dependencies and keys,andgive examples.",IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-05-04,Evaluate data integrity and provide examples of entity and referential integrity.,IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-05-05,"Analyze how data fragmentation, replication and allocation affect database performance.",IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-05-06,"Describe major concepts ofobject oriented, XML, NewSQL,and NoSQL databases.",IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-05-07,Demonstrate an understanding of online analytical processing and data warehouse systems.,IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-05-08,Describe methods of data mining and what insights may be gained by these methods.,IMA,Data organization architecture,IMA-05,Information Management,Essential
IMA-07-01,Contrast and compare data administration and database administration.,IMA,Managing the database environment,IMA-07,Information Management,Essential
IMA-07-02,Describe tasks commonly performed by database administrators.,IMA,Managing the database environment,IMA-07,Information Management,Essential
IMA-07-03,"Create and manage database users, roles,and privileges.",IMA,Managing the database environment,IMA-07,Information Management,Essential
IMA-07-04,Consider the concept of database security and backupandrecovery.,IMA,Managing the database environment,IMA-07,Information Management,Essential
IMA-07-05,Evaluate the importance of metadata in database environment.,IMA,Managing the database environment,IMA-07,Information Management,Essential
IST-01-01,Describe how integrating various modules can produce a working system.,IST,Perspectives and impact,IST-01,Integrated Systems Technology,Essential
IST-01-02,Describe how integration is an important function of all IT professionals.,IST,Perspectives and impact,IST-01,Integrated Systems Technology,Essential
IST-02-01,Produce a definition for the term‘metadata.’,IST,Data mapping and exchange,IST-02,Integrated Systems Technology,Essential
IST-02-02,"Describe how ASCII, EBCDIC, and Unicode are used to encode data, and show how each should be used.",IST,Data mapping and exchange,IST-02,Integrated Systems Technology,Essential
IST-02-03,Describe how XML and the document object model are being used to integrate and exchange data between systems.,IST,Data mapping and exchange,IST-02,Integrated Systems Technology,Essential
IST-02-04,"Use DTD to create a document definition for adata structure. Given a DTD for data structure, create an XML document with real data.",IST,Data mapping and exchange,IST-02,Integrated Systems Technology,Essential
IST-02-05,"Describe how XSL, XSLT and XPath are used to transform data streams.",IST,Data mapping and exchange,IST-02,Integrated Systems Technology,Essential
IST-03-01,Describe how different types of architectures must be considered for integrating systems.,IST,Intersystem communication protocols,IST-03,Integrated Systems Technology,Essential
IST-03-02,"Demonstrate the role of DCOM, CORBA, and RMI in distributed processing.",IST,Intersystem communication protocols,IST-03,Integrated Systems Technology,Essential
IST-03-03,"Describe how web services are used to integrate disparate applications in an organization. Describe the role of theWSDL, SOAP, and UDDIarchitectures in creating and using web services.",IST,Intersystem communication protocols,IST-03,Integrated Systems Technology,Essential
IST-03-04,Demonstrate the role of socket programming in communicating between systems. Contrast the protocols and uses of TCP/IP sockets,IST,Intersystem communication protocols,IST-03,Integrated Systems Technology,Essential
IST-03-05,d Datagram sockets.,IST,Intersystem communication protocols,IST-03,Integrated Systems Technology,Essential
IST-03-06,"Describe the purpose of message and queuing services and demonstrate how they work. Illustrate the protocol used by one messaging service (e.g.,JMS).",IST,Intersystem communication protocols,IST-03,Integrated Systems Technology,Essential
IST-03-07,"List the commonly used low level data communications protocols (e.g., RS232), describe how to know when each protocol shouldbe used, and illustrate the protocol forone low-level communication protocol.",IST,Intersystem communication protocols,IST-03,Integrated Systems Technology,Essential
IST-04-01,Describe how design patterns are useful in integrative programming.,IST,Integrative programming,IST-04,Integrated Systems Technology,Essential
IST-04-02,"Evaluate the motivation for using each of the following design patterns: MVC, singleton, factory method, façade, proxy, decorator, and observer.",IST,Integrative programming,IST-04,Integrated Systems Technology,Essential
IST-04-03,"Describe how a programming interface is used in programming, and illustrate with an examplewhenthe use of a programming interface simplified the development of a system.",IST,Integrative programming,IST-04,Integrated Systems Technology,Essential
IST-04-04,Define the concept of inheritance and describe how it can be applied to encourage code reuse.,IST,Integrative programming,IST-04,Integrated Systems Technology,Essential
IST-04-05,Design an abstract class and use inheritance to create a class that extends the abstract class.,IST,Integrative programming,IST-04,Integrated Systems Technology,Essential
IST-04-06,"Design, develop,and test an application that uses the abstract class.",IST,Integrative programming,IST-04,Integrated Systems Technology,Essential
IST-05-01,"Describe how scripting languages are used for web scripting, server-side scripting,and operating system scripting.",IST,Scripting techniques,IST-05,Integrated Systems Technology,Essential
IST-05-02,"Write, debug,and test a script that includes selection, repetition,and parameter passing.",IST,Scripting techniques,IST-05,Integrated Systems Technology,Essential
IST-06-01,Contrastevidence-based security vs. code access security.,IST,Defensible integration,IST-06,Integrated Systems Technology,Essential
IST-06-02,Define and evaluate several goals of secure coding.,IST,Defensible integration,IST-06,Integrated Systems Technology,Essential
IST-06-03,Justify the guidelines for authenticating and defining permissions to systems services and resources.,IST,Defensible integration,IST-06,Integrated Systems Technology,Essential
IST-06-04,"For each of the following “best secure coding” practices, give an example of a problem that can occur when the practice is not followed",IST,Defensible integration,IST-06,Integrated Systems Technology,Essential
IST-06-05,d then describe how to overcome the problem. 1.Preventing buffer overflow 2.Securing state data 3.Securing method access 4.Wrapper code 5.Unmanaged code 6.Validation of user input 7.Remoting considerations 8.Protected objects 9.Serialization 10.Robust error handling,IST,Defensible integration,IST-06,Integrated Systems Technology,Essential
NET-01-01,Describe networking and the research scope of networking study.,NET,Perspectives and impact,NET-01,Networking,Essential
NET-01-02,Identify some components of a network.,NET,Perspectives and impact,NET-01,Networking,Essential
NET-01-03,Nameseveralnetwork devices and describe their purpose.,NET,Perspectives and impact,NET-01,Networking,Essential
NET-01-04,Describe ways information technology uses or benefits from networks.,NET,Perspectives and impact,NET-01,Networking,Essential
NET-01-05,Illustrate the role of networks in information technology.,NET,Perspectives and impact,NET-01,Networking,Essential
