topicId,topic,domainId,domain,subdomain,subdomainId,Tier,CS Courses
AL-02-08,Reduction: transform-and-conquer,AL,Algorithms and Complexity,Algorithmic Strategies ,AL-02,Tier 2,COMP 3601
AL-03-01,"Simple numerical algorithms, such as computing the average of a list of numbers, finding the min, max, ",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 1,"COMP 2611,COMP 1602,COMP 1603"
AL-03-02,Sequential and binary search algorithms,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 1,"COMP 2611,COMP 1602"
AL-03-03,"Worst case quadratic sorting algorithms (selection, insertion)",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 1,COMP 2611
AL-03-04,"Worst or average case O(N log N) sorting algorithms (quicksort, heapsort, mergesort)",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 1,COMP 2611
AL-03-05,"Hash tables, including strategies for avoiding and resolving collisions",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 1,COMP 2611
AL-03-06,Binary search trees,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 1,COMP 2611
AL-03-07,Graphs and graph algorithms,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 1,COMP 2611
AL-03-08,Heaps,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 2,COMP 2611
AL-03-09,Graphs and graph algorithms,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 2,COMP 2611
AL-03-10,"Pattern matching and string/text algorithms (e.g., substring matching, regular expression matching, longest ",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,Tier 2,COMP 3601
AL-04-01,Finite-state machines,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,Tier 1,COMP 3602
AL-04-02,Regular expressions,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,Tier 1,COMP 3602
AL-04-03,The halting problem,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,Tier 1,
AL-04-04,Context-free grammars (cross-reference PL/Syntax Analysis),AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,Tier 2,COMP 3602
AL-04-05,Introduction to the P and NP classes and the P vs. NP problem,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,Tier 2,
AL-04-06,"Introduction to the NP-complete class and exemplary NP-complete problems (e.g., SAT, Knapsack)",AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,Tier 2,
AL-05-01,Review of the classes P and NP; introduce P-space and EXP,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,Elective,
AL-05-02,Polynomial hierarchy,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,Elective,
AL-05-03,NP-completeness (Cook’s theorem),AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,Elective,
AL-05-04,Classic NP-complete problems,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,Elective,
AL-05-05,Reduction Techniques,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,Elective,
AL-06-01,Sets and languages,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,COMP 3602
AL-06-02,Context-free languages,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,COMP 3602
AL-06-03,"Turing machines, or an equivalent formal model of universal computation",AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-06-04,Nondeterministic Turing machines,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-06-05,Chomsky hierarchy,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-06-06,The Church-Turing thesis,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-06-07,Computability,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-06-08,Rice’s Theorem,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-06-09,Examples of uncomputable functions,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-06-10,Implications of uncomputability,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,Elective,
AL-07-01,"Balanced trees (e.g., AVL trees, red-black trees, splay trees, treaps)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-02,"Graphs (e.g., topological sort, finding strongly connected components, matching)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-03,"Advanced data structures (e.g., B-trees, Fibonacci heaps)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-04,"String-based data structures and algorithms (e.g., suffix arrays, suffix trees, tries)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-05,"Network flows (e.g., max flow [Ford-Fulkerson algorithm], max flow – min cut, maximum bipartite ",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-06,"Linear Programming (e.g.,duality, simplex method, interior point algorithms)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-07,"Number-theoretic algorithms (e.g., modular arithmetic, primality testing, integer factorization)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-08,"Geometric algorithms (e.g., points, line segments, polygons. [properties, intersections], finding convex hull, ",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-09,Randomized algorithms,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-10,Stochastic algorithms,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-11,Approximation algorithms,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-12,Amortized analysis,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-13,Probabilistic analysis,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AL-07-14,Online algorithms and competitive analysis,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,Elective,
AR-01-01,Overview and history of computer architecture,AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-01,Tier 2,"COMP 2601,INFO 2603"
AR-01-02,Combinational vs. sequential logic/Field programmable gate arrays as a fundamental combinational + ,AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-01,Tier 2,COMP 2601
AR-01-03,Multiple representations/layers of interpretation (hardware is just another layer),AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-01,Tier 2,COMP 2601
AR-01-04,Computer-aided design tools that process hardware and architectural representations,AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-01,Tier 2,
AR-01-05,Register transfer notation/Hardware Description Language (Verilog/VHDL),AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-01,Tier 2,
AR-01-06,"Physical constraints (gate delays, fan-in, fan-out, energy/power)",AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-01,Tier 2,COMP 2601
AR-02-01,"Bits, bytes, and words",AR,Architecture and Organization,Machine Level Representation of Data ,AR-02,Tier 2,"COMP 1600,COMP 2601"
AR-02-02,Numeric data representation and number bases,AR,Architecture and Organization,Machine Level Representation of Data ,AR-02,Tier 2,"COMP 1600,COMP 2601"
AR-02-03,Fixed- and floating-point systems,AR,Architecture and Organization,Machine Level Representation of Data ,AR-02,Tier 2,COMP 2601
AR-02-04,Signed and twos-complement representations,AR,Architecture and Organization,Machine Level Representation of Data ,AR-02,Tier 2,COMP 2601
AR-02-05,"Representation of non-numeric data (character codes, graphical data)",AR,Architecture and Organization,Machine Level Representation of Data ,AR-02,Tier 2,COMP 2601
AR-02-06,Representation of records and arrays,AR,Architecture and Organization,Machine Level Representation of Data ,AR-02,Tier 2,COMP 2601
AR-03-01,Basic organization of the von Neumann machine,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,"COMP 2601, INFO 2603"
AR-03-02,"Control unit; instruction fetch, decode, and execution",AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-03-03,"Instruction sets and types (data manipulation, control, I/O)",AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,"COMP 1600,COMP 2601"
AR-03-04,Assembly/machine language programming,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-03-05,Instruction formats,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-03-06,Addressing modes,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-03-07,Subroutine call and return mechanisms (cross-referencePL/Language Translation and Execution),AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-03-08,I/O and interrupts,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,"COMP 1600,COMP 2601"
AR-03-09,Heap vs. Static vs. Stack vs. Code segments,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-03-10,Shared memory multiprocessors/multicore organization,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-03-11,Introduction to SIMD vs. MIMD and the Flynn Taxonomy,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-03,Tier 2,COMP 2601
AR-04-01,Storage systems and their technology,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-04-02,Memory hierarchy: importance of temporal and spatial locality,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-04-03,Main memory organization and operations,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-04-04,"Latency, cycle time, bandwidth, and interleaving",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-04-05,"Cache memories (address mapping, block size, replacement and store policy)",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,"COMP 1600,COMP 2601"
AR-04-06,Multiprocessor cache consistency/Using the memory system for inter-core synchronization/atomic memory ,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-04-07,"Virtual memory (page table, TLB)",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-04-08,Fault handling and reliability,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-04-09,"Error coding, data compression, and data integrity (cross-referenceSF/Reliability through Redundancy)",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-04,Tier 2,COMP 2601
AR-05-01,"I/O fundamentals: handshaking, buffering, programmed I/O, interrupt-driven I/O",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-05,Tier 2,COMP 2601
AR-05-02,"Interrupt structures: vectoredand prioritized, interrupt acknowledgment",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-05,Tier 2,COMP 2601
AR-05-03,"External storage, physical organization, and drives",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-05,Tier 2,COMP 2601
AR-05-04,"Buses: bus protocols, arbitration, direct-memory access (DMA)",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-05,Tier 2,COMP 2601
AR-05-05,Introduction to networks: communications networks as another layer of remote access,AR,Architecture and Organization,Interfacing and  C ommunication ,AR-05,Tier 2,COMP 2601
AR-05-06,Multimedia support,AR,Architecture and Organization,Interfacing and  C ommunication ,AR-05,Tier 2,COMP 2601
AR-05-07,RAID architectures,AR,Architecture and Organization,Interfacing and  C ommunication ,AR-05,Tier 2,COMP 2601
AR-06-01,"Implementation of simple datapaths, including instruction pipelining, hazard detection and resolution",AR,Architecture and Organization,Functional Organization ,AR-06,Elective,COMP 2601
AR-06-02,Control unit: hardwired realization vs. microprogrammed realization,AR,Architecture and Organization,Functional Organization ,AR-06,Elective,COMP 2601
AR-06-03,Instruction pipelining,AR,Architecture and Organization,Functional Organization ,AR-06,Elective,COMP 2601
AR-06-04,Introduction to instruction-level parallelism (ILP),AR,Architecture and Organization,Functional Organization ,AR-06,Elective,COMP 2601
AR-07-01,Power Law,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-07,Elective,
AR-07-02,Example SIMD and MIMD instruction sets and architectures,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-07,Elective,COMP 2601
AR-07-03,"Interconnection networks (hypercube, shuffle-exchange, mesh, crossbar)",AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-07,Elective,
AR-07-04,Shared multiprocessor memory systems and memory consistency,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-07,Elective,
AR-07-05,Multiprocessor cache coherence,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-07,Elective,COMP 2601
AR-08-01,Superscalar architecture,AR,Architecture and Organization,Performance Enhancements ,AR-08,Elective,COMP 2601
AR-08-02,"Branch prediction, Speculative execution, Out-of-order execution",AR,Architecture and Organization,Performance Enhancements ,AR-08,Elective,COMP 2601
AR-08-03,Prefetching,AR,Architecture and Organization,Performance Enhancements ,AR-08,Elective,COMP 2601
AR-08-04,Vector processors and GPUs,AR,Architecture and Organization,Performance Enhancements ,AR-08,Elective,
AR-08-05,Hardware support for multithreading,AR,Architecture and Organization,Performance Enhancements ,AR-08,Elective,COMP 2601
AR-08-06,Scalability,AR,Architecture and Organization,Performance Enhancements ,AR-08,Elective,COMP 2601
AR-08-07,"Alternative architectures, such as VLIW/EPIC, and Accelerators and other kinds of Special-Purpose ",AR,Architecture and Organization,Performance Enhancements ,AR-08,Elective,
CN-01-01,Models as abstractions of situations,CN,Computational Science,Introduction to Modeling and Simulation,CN-01,Tier 1,"COMP 3607,COMP 3611"
CN-01-02,Simulations as dynamic modeling,CN,Computational Science,Introduction to Modeling and Simulation,CN-01,Tier 1,COMP 3611
CN-01-03,"Simulation techniques and tools, such as physical simulations, human-in-the-loop guided simulations, and ",CN,Computational Science,Introduction to Modeling and Simulation,CN-01,Tier 1,
CN-01-04,"Foundational approaches to validating models(e.g., comparing a simulation’s output to real data or the ",CN,Computational Science,Introduction to Modeling and Simulation,CN-01,Tier 1,COMP 3611
CN-01-05,Presentation of results in a form relevant to the system being modeled,CN,Computational Science,Introduction to Modeling and Simulation,CN-01,Tier 1,COMP 3611
CN-02-01,"Purpose of modeling and simulation including optimization; supporting decision making, forecasting, ",CN,Computational Science,Modeling and Simulation ,CN-02,Elective,COMP 3611
CN-02-02,"Tradeoffs including performance, accuracy, validity, and complexity",CN,Computational Science,Modeling and Simulation ,CN-02,Elective,COMP 3611
CN-02-03,"The simulation process; identification ofkey characteristics or behaviors, simplifying assumptions; ",CN,Computational Science,Modeling and Simulation ,CN-02,Elective,COMP 3611
CN-02-04,"Model building: use of mathematical formulas or equations, graphs, constraints; methodologies and ",CN,Computational Science,Modeling and Simulation ,CN-02,Elective,COMP 3611
CN-02-05,Formal models and modeling techniques:  mathematical descriptions involving simplifying assumptions ,CN,Computational Science,Modeling and Simulation ,CN-02,Elective,COMP 3611
CN-02-06,Assessing and evaluating models and simulations in a variety of contexts; verification and validation of ,CN,Computational Science,Modeling and Simulation ,CN-02,Elective,COMP 3611
CN-02-07,"Important application areas including health care and diagnostics, economics and finance, city and urban ",CN,Computational Science,Modeling and Simulation ,CN-02,Elective,
CN-02-08,"Software in support of simulation and modeling; packages, languages",CN,Computational Science,Modeling and Simulation ,CN-02,Elective,
CN-03-01,Fundamental programming concepts:,CN,Computational Science,Processing ,CN-03,Elective,
CN-03-02,Numerical methods,CN,Computational Science,Processing ,CN-03,Elective,
CN-03-03,Fundamental properties of parallel and distributed computation:,CN,Computational Science,Processing ,CN-03,Elective,
CN-03-04,"Computing costs, e.g., the cost of re-computing  a value vs. the cost of storing and lookup.",CN,Computational Science,Processing ,CN-03,Elective,
CN-04-01,Principles of data visualization,CN,Computational Science,Interactive Visualization ,CN-04,Elective,
CN-04-02,Graphing and visualization algorithms,CN,Computational Science,Interactive Visualization ,CN-04,Elective,
CN-04-03,Image processing techniques,CN,Computational Science,Interactive Visualization ,CN-04,Elective,
CN-04-04,Scalability concerns,CN,Computational Science,Interactive Visualization ,CN-04,Elective,
CN-05-01,"Content management models, frameworks, systems, design methods (asin IM. Information Management)",CN,Computational Science,"Data, Information, and Knowledge ",CN-05,Elective,
CN-05-02,"Digital representations of content including numbers, text, images (e.g., raster and vector), video (e.g., ",CN,Computational Science,"Data, Information, and Knowledge ",CN-05,Elective,
CN-05-03,"Digital content creation/capture and preservation, including digitization, sampling, compression, ",CN,Computational Science,"Data, Information, and Knowledge ",CN-05,Elective,
CN-05-04,"Content structure / management, including digital libraries and static/dynamic/stream aspects for:",CN,Computational Science,"Data, Information, and Knowledge ",CN-05,Elective,
CN-05-05,"Processing and pattern recognition, including indexing, searching (including: queries and query languages; ",CN,Computational Science,"Data, Information, and Knowledge ",CN-05,Elective,
CN-05-06,"User / society support for presentation and interaction, including browse, search, filter, route, visualize, ",CN,Computational Science,"Data, Information, and Knowledge ",CN-05,Elective,
CN-05-07,"Modeling, design, logical and physical implementation, using relevant systems/software",CN,Computational Science,"Data, Information, and Knowledge ",CN-05,Elective,
CN-06-01,"Error, stability, convergence, including truncation and round-off",CN,Computational Science,Numerical Analysis ,CN-06,Elective,
CN-06-02,"Function approximationincluding Taylor’s series, interpolation, extrapolation, and regression",CN,Computational Science,Numerical Analysis ,CN-06,Elective,
CN-06-03,"Numerical differentiation and integration (Simpson’s Rule, explicit and implicit methods) ",CN,Computational Science,Numerical Analysis ,CN-06,Elective,
CN-06-04,"Differential equations (Euler’s Method, finite differences) ",CN,Computational Science,Numerical Analysis ,CN-06,Elective,
DS-01-01,Sets,DS,Discrete Structures,"Sets, Relations, and Functions ",DS-01,Tier 1,COMP 1604
DS-01-02,Relations,DS,Discrete Structures,"Sets, Relations, and Functions ",DS-01,Tier 1,COMP 1604
DS-01-03,Functions,DS,Discrete Structures,"Sets, Relations, and Functions ",DS-01,Tier 1,COMP 1604
DS-02-01,Propositional logic (cross-reference: Propositional logic is also reviewed in  IS/Knowledge Based ,DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-02-02,Logical connectives,DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-02-03,Truth tables,DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-02-04,Normal forms (conjunctive and disjunctive),DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-02-05,Validity of well-formed formula,DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-02-06,Propositional inference rules (concepts of modus ponens and modus tollens),DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-02-07,Predicate logic,DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-02-08,"Limitations of propositional and predicate logic (e.g., expressiveness issues)",DS,Discrete Structures,Basic Logic,DS-02,Tier 1,COMP 1604
DS-03-01,"Notions of implication, equivalence, converse, inverse, contrapositive, negation, and contradiction",DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-02,The structure of mathematical proofs,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-03,Direct proofs,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-04,Disproving by counterexample,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-05,Proof by contradiction,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-06,Induction over natural numbers,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-07,Structural induction ,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-08,"Weak and strong induction (i.e., First and Second Principle of Induction)",DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-09,Recursive mathematical definitions,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 1,COMP 1604
DS-03-10,Well orderings,DS,Discrete Structures,Proof Techniques ,DS-03,Tier 2,
DS-04-01,Counting arguments,DS,Discrete Structures,Basics of Counting,DS-04,Tier 1,COMP 1604
DS-04-02,The pigeonhole principle,DS,Discrete Structures,Basics of Counting,DS-04,Tier 1,COMP 1604
DS-04-03,Permutations and combinations,DS,Discrete Structures,Basics of Counting,DS-04,Tier 1,COMP 1604
DS-04-04,Solving recurrence relations (cross-reference: AL/Basic Analysis),DS,Discrete Structures,Basics of Counting,DS-04,Tier 1,COMP 1604
DS-04-05,Basic modular arithmetic,DS,Discrete Structures,Basics of Counting,DS-04,Tier 1,COMP 1604
DS-05-01,Trees,DS,Discrete Structures,Graphs and Trees ,DS-05,Tier 1,COMP 2611
DS-05-02,Undirected graphs,DS,Discrete Structures,Graphs and Trees ,DS-05,Tier 1,COMP 2611
DS-05-03,Directed graphs,DS,Discrete Structures,Graphs and Trees ,DS-05,Tier 1,COMP 2611
DS-05-04,Weighted graphs,DS,Discrete Structures,Graphs and Trees ,DS-05,Tier 1,COMP 2611
DS-05-05,Spanning trees/forests,DS,Discrete Structures,Graphs and Trees ,DS-05,Tier 2,COMP 2611
DS-05-06,Graph isomorphism,DS,Discrete Structures,Graphs and Trees ,DS-05,Tier 2,
DS-06-01,"Finite probability space, events",DS,Discrete Structures,Discrete Probability ,DS-06,Tier 1,
DS-06-02,Axioms of probability and probability measures,DS,Discrete Structures,Discrete Probability ,DS-06,Tier 1,
DS-06-03,"Conditional probability, Bayes’ theorem",DS,Discrete Structures,Discrete Probability ,DS-06,Tier 1,
DS-06-04,Independence,DS,Discrete Structures,Discrete Probability ,DS-06,Tier 1,
DS-06-05,"Integer random variables (Bernoulli, binomial)",DS,Discrete Structures,Discrete Probability ,DS-06,Tier 1,
DS-06-06,"Expectation, including Linearity of Expectation ",DS,Discrete Structures,Discrete Probability ,DS-06,Tier 1,
DS-06-07,Variance,DS,Discrete Structures,Discrete Probability ,DS-06,Tier 2,
DS-06-08,Conditional Independence,DS,Discrete Structures,Discrete Probability ,DS-06,Tier 2,
GV-01-01,"Media applications including user interfaces, audio and videoediting, game engines, cad, visualization, ",GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Tier 1,
GV-01-02,"Digitization of analog data, resolution,and the limits of human perception, e.g., pixels for visual display, ",GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Tier 1,
GV-01-03,Use of standard APIs for the construction of UIs and display of standard mediaformats (see HCI/GUI ,GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Tier 1,COMP 3609
GV-01-04,"Standard mediaformats, including lossless and lossy formats",GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Tier 1,
GV-01-05,Additive and subtractive color models (CMYK and RGB) and why these provide a range of colors,GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Tier 2,
GV-01-06,Tradeoffs between storing data and re-computing data as embodied by vector and raster representations of ,GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Tier 2,
GV-01-07,Animation as a sequence of still images,GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Tier 2,COMP 3609
GV-01-08,Double buffering,GV,Graphics and Visualization,Fundamental Concepts ,GV-01,Elective,
GV-02-01,"Rendering in nature, e.g., the emission and scattering of light and its relation to numerical integration",GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-02,"Forward and backward rendering (i.e.,ray-casting and rasterization)",GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-03,Polygonal representation,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-04,"Basic radiometry, similar triangles, and projection model",GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-05,Affine and coordinate system transformations,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-06,Ray tracing,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-07,"Visibility and occlusion, including solutions to this problem such as depth buffering, Painter’s algorithm, ",GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-08,The forward and backward rendering equation,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-09,Simple triangle rasterization,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-10,Rendering with a shader-based API,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-11,"Texture mapping, including minification and magnification (e.g., trilinear MIP-mapping)",GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-12,Application of spatial data structures to rendering,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-13,Sampling and anti-aliasing,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-02-14,Scene graphs and the graphics pipeline,GV,Graphics and Visualization,Basic Rendering ,GV-02,Elective,
GV-03-01,Basic geometric operations such as intersection calculation and proximity tests,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
