Topic ID,SubDomain ID,Sub Domain,Domain,Domain ID,Courses,Topic,Courses
AR-06-02,AR-06,Functional Organization ,Architecture and Organization,AR,COMP 2601,Control unit: hardwired realization vs. microprogrammed realization,COMP 2601
AR-06-03,AR-06,Functional Organization ,Architecture and Organization,AR,COMP 2601,Instruction pipelining,COMP 2601
AR-06-04,AR-06,Functional Organization ,Architecture and Organization,AR,COMP 2601,Introduction to instruction-level parallelism (ILP),COMP 2601
AR-07-01,AR-07,Multiprocessing and Alternative Architectures ,Architecture and Organization,AR,COMP 2601,Power Law,COMP 2601
AR-07-02,AR-07,Multiprocessing and Alternative Architectures ,Architecture and Organization,AR,COMP 2601,Example SIMD and MIMD instruction sets and architectures,COMP 2601
AR-07-03,AR-07,Multiprocessing and Alternative Architectures ,Architecture and Organization,AR,,"Interconnection networks (hypercube, shuffle-exchange, mesh, crossbar)",
AR-07-04,AR-07,Multiprocessing and Alternative Architectures ,Architecture and Organization,AR,COMP 2601,Shared multiprocessor memory systems and memory consistency,COMP 2601
AR-07-05,AR-07,Multiprocessing and Alternative Architectures ,Architecture and Organization,AR,COMP 2601,Multiprocessor cache coherence,COMP 2601
AR-08-01,AR-08,Performance Enhancements ,Architecture and Organization,AR,,Superscalar architecture,
AR-08-02,AR-08,Performance Enhancements ,Architecture and Organization,AR,,"Branch prediction, Speculative execution, Out-of-order execution",
AR-08-03,AR-08,Performance Enhancements ,Architecture and Organization,AR,,Prefetching,
AR-08-04,AR-08,Performance Enhancements ,Architecture and Organization,AR,,Vector processors and GPUs,
AR-08-05,AR-08,Performance Enhancements ,Architecture and Organization,AR,,Hardware support for multithreading,
AR-08-06,AR-08,Performance Enhancements ,Architecture and Organization,AR,,Scalability,
AR-08-07,AR-08,Performance Enhancements ,Architecture and Organization,AR,,"Alternative architectures, such as VLIW/EPIC, and Accelerators and other kinds of Special-Purpose ",
CN-01-01,CN-01,Introduction to Modeling and Simulation,Computational Science,CN,"COMP 3611,COMP 3607",Models as abstractions of situations,"COMP 3611,COMP 3607"
CN-01-02,CN-01,Introduction to Modeling and Simulation,Computational Science,CN,COMP 3611,Simulations as dynamic modeling,COMP 3611
CN-01-03,CN-01,Introduction to Modeling and Simulation,Computational Science,CN,COMP 3611,"Simulation techniques and tools, such as physical simulations, human-in-the-loop guided simulations, and ",COMP 3611
CN-01-04,CN-01,Introduction to Modeling and Simulation,Computational Science,CN,COMP 3611,"Foundational approaches to validating models(e.g., comparing a simulation’s output to real data or the ",COMP 3611
CN-01-05,CN-01,Introduction to Modeling and Simulation,Computational Science,CN,COMP 3611,Presentation of results in a form relevant to the system being modeled,COMP 3611
CN-02-01,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,"Purpose of modeling and simulation including optimization; supporting decision making, forecasting, ",COMP 3611
CN-02-02,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,"Tradeoffs including performance, accuracy, validity, and complexity",COMP 3611
CN-02-03,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,"The simulation process; identification ofkey characteristics or behaviors, simplifying assumptions; ",COMP 3611
CN-02-04,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,"Model building: use of mathematical formulas or equations, graphs, constraints; methodologies and ",COMP 3611
CN-02-05,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,Formal models and modeling techniques:  mathematical descriptions involving simplifying assumptions ,COMP 3611
CN-02-06,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,Assessing and evaluating models and simulations in a variety of contexts; verification and validation of ,COMP 3611
CN-02-07,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,"Important application areas including health care and diagnostics, economics and finance, city and urban ",COMP 3611
CN-02-08,CN-02,Modeling and Simulation ,Computational Science,CN,COMP 3611,"Software in support of simulation and modeling; packages, languages",COMP 3611
CN-03-01,CN-03,Processing ,Computational Science,CN,,Fundamental programming concepts:,
CN-03-02,CN-03,Processing ,Computational Science,CN,,Numerical methods,
CN-03-03,CN-03,Processing ,Computational Science,CN,,Fundamental properties of parallel and distributed computation:,
CN-03-04,CN-03,Processing ,Computational Science,CN,,"Computing costs, e.g., the cost of re-computing  a value vs. the cost of storing and lookup.",
CN-04-01,CN-04,Interactive Visualization ,Computational Science,CN,COMP 3610,Principles of data visualization,COMP 3610
CN-04-02,CN-04,Interactive Visualization ,Computational Science,CN,COMP 3610,Graphing and visualization algorithms,COMP 3610
CN-04-03,CN-04,Interactive Visualization ,Computational Science,CN,,Image processing techniques,
CN-04-04,CN-04,Interactive Visualization ,Computational Science,CN,COMP 3610,Scalability concerns,COMP 3610
CN-05-01,CN-05,"Data, Information, and Knowledge ",Computational Science,CN,,"Content management models, frameworks, systems, design methods (asin IM. Information Management)",
CN-05-02,CN-05,"Data, Information, and Knowledge ",Computational Science,CN,,"Digital representations of content including numbers, text, images (e.g., raster and vector), video (e.g., ",
CN-05-03,CN-05,"Data, Information, and Knowledge ",Computational Science,CN,,"Digital content creation/capture and preservation, including digitization, sampling, compression, ",
CN-05-04,CN-05,"Data, Information, and Knowledge ",Computational Science,CN,,"Content structure / management, including digital libraries and static/dynamic/stream aspects for:",
CN-05-05,CN-05,"Data, Information, and Knowledge ",Computational Science,CN,,"Processing and pattern recognition, including indexing, searching (including: queries and query languages; ",
CN-05-06,CN-05,"Data, Information, and Knowledge ",Computational Science,CN,,"User / society support for presentation and interaction, including browse, search, filter, route, visualize, ",
CN-05-07,CN-05,"Data, Information, and Knowledge ",Computational Science,CN,,"Modeling, design, logical and physical implementation, using relevant systems/software",
CN-06-01,CN-06,Numerical Analysis ,Computational Science,CN,,"Error, stability, convergence, including truncation and round-off",
CN-06-02,CN-06,Numerical Analysis ,Computational Science,CN,,"Function approximationincluding Taylor’s series, interpolation, extrapolation, and regression",
CN-06-03,CN-06,Numerical Analysis ,Computational Science,CN,,"Numerical differentiation and integration (Simpson’s Rule, explicit and implicit methods) ",
CN-06-04,CN-06,Numerical Analysis ,Computational Science,CN,,"Differential equations (Euler’s Method, finite differences) ",
DS-01-01,DS-01,"Sets, Relations, and Functions ",Discrete Structures,DS,,Sets,
DS-01-02,DS-01,"Sets, Relations, and Functions ",Discrete Structures,DS,,Relations,
DS-01-03,DS-01,"Sets, Relations, and Functions ",Discrete Structures,DS,,Functions,
DS-02-01,DS-02,Basic Logic,Discrete Structures,DS,,Propositional logic (cross-reference: Propositional logic is also reviewed in  IS/Knowledge Based ,
DS-02-02,DS-02,Basic Logic,Discrete Structures,DS,,Logical connectives,
DS-02-03,DS-02,Basic Logic,Discrete Structures,DS,,Truth tables,
DS-02-04,DS-02,Basic Logic,Discrete Structures,DS,,Normal forms (conjunctive and disjunctive),
DS-02-05,DS-02,Basic Logic,Discrete Structures,DS,,Validity of well-formed formula,
DS-02-06,DS-02,Basic Logic,Discrete Structures,DS,,Propositional inference rules (concepts of modus ponens and modus tollens),
DS-02-07,DS-02,Basic Logic,Discrete Structures,DS,,Predicate logic,
DS-02-08,DS-02,Basic Logic,Discrete Structures,DS,,"Limitations of propositional and predicate logic (e.g., expressiveness issues)",
DS-03-01,DS-03,Proof Techniques ,Discrete Structures,DS,,"Notions of implication, equivalence, converse, inverse, contrapositive, negation, and contradiction",
DS-03-02,DS-03,Proof Techniques ,Discrete Structures,DS,,The structure of mathematical proofs,
DS-03-03,DS-03,Proof Techniques ,Discrete Structures,DS,,Direct proofs,
DS-03-04,DS-03,Proof Techniques ,Discrete Structures,DS,,Disproving by counterexample,
DS-03-05,DS-03,Proof Techniques ,Discrete Structures,DS,,Proof by contradiction,
DS-03-06,DS-03,Proof Techniques ,Discrete Structures,DS,,Induction over natural numbers,
DS-03-07,DS-03,Proof Techniques ,Discrete Structures,DS,,Structural induction ,
DS-03-08,DS-03,Proof Techniques ,Discrete Structures,DS,,"Weak and strong induction (i.e., First and Second Principle of Induction)",
DS-03-09,DS-03,Proof Techniques ,Discrete Structures,DS,,Recursive mathematical definitions,
DS-03-10,DS-03,Proof Techniques ,Discrete Structures,DS,,Well orderings,
DS-04-01,DS-04,Basics of Counting,Discrete Structures,DS,,Counting arguments,
DS-04-02,DS-04,Basics of Counting,Discrete Structures,DS,,The pigeonhole principle,
DS-04-03,DS-04,Basics of Counting,Discrete Structures,DS,,Permutations and combinations,
DS-04-04,DS-04,Basics of Counting,Discrete Structures,DS,,Solving recurrence relations (cross-reference: AL/Basic Analysis),
DS-04-05,DS-04,Basics of Counting,Discrete Structures,DS,,Basic modular arithmetic,
DS-05-01,DS-05,Graphs and Trees ,Discrete Structures,DS,,Trees,
DS-05-02,DS-05,Graphs and Trees ,Discrete Structures,DS,,Undirected graphs,
DS-05-03,DS-05,Graphs and Trees ,Discrete Structures,DS,,Directed graphs,
DS-05-04,DS-05,Graphs and Trees ,Discrete Structures,DS,,Weighted graphs,
DS-05-05,DS-05,Graphs and Trees ,Discrete Structures,DS,,Spanning trees/forests,
DS-05-06,DS-05,Graphs and Trees ,Discrete Structures,DS,,Graph isomorphism,
DS-06-01,DS-06,Discrete Probability ,Discrete Structures,DS,COMP 3611,"Finite probability space, events",COMP 3611
DS-06-02,DS-06,Discrete Probability ,Discrete Structures,DS,COMP 3611,Axioms of probability and probability measures,COMP 3611
DS-06-03,DS-06,Discrete Probability ,Discrete Structures,DS,COMP 3611,"Conditional probability, Bayes’ theorem",COMP 3611
DS-06-04,DS-06,Discrete Probability ,Discrete Structures,DS,COMP 3611,Independence,COMP 3611
DS-06-05,DS-06,Discrete Probability ,Discrete Structures,DS,COMP 3611,"Integer random variables (Bernoulli, binomial)",COMP 3611
DS-06-06,DS-06,Discrete Probability ,Discrete Structures,DS,,"Expectation, including Linearity of Expectation ",
DS-06-07,DS-06,Discrete Probability ,Discrete Structures,DS,COMP 3611,Variance,COMP 3611
DS-06-08,DS-06,Discrete Probability ,Discrete Structures,DS,COMP 3611,Conditional Independence,COMP 3611
GV-01-01,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,"Media applications including user interfaces, audio and videoediting, game engines, cad, visualization, ",
GV-01-02,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,"Digitization of analog data, resolution,and the limits of human perception, e.g., pixels for visual display, ",
GV-01-03,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,Use of standard APIs for the construction of UIs and display of standard mediaformats (see HCI/GUI ,
GV-01-04,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,"Standard mediaformats, including lossless and lossy formats",
GV-01-05,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,Additive and subtractive color models (CMYK and RGB) and why these provide a range of colors,
GV-01-06,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,Tradeoffs between storing data and re-computing data as embodied by vector and raster representations of ,
GV-01-07,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,Animation as a sequence of still images,
GV-01-08,GV-01,Fundamental Concepts ,Graphics and Visualization,GV,,Double buffering,
GV-02-01,GV-02,Basic Rendering ,Graphics and Visualization,GV,,"Rendering in nature, e.g., the emission and scattering of light and its relation to numerical integration",
GV-02-02,GV-02,Basic Rendering ,Graphics and Visualization,GV,,"Forward and backward rendering (i.e.,ray-casting and rasterization)",
GV-02-03,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Polygonal representation,
GV-02-04,GV-02,Basic Rendering ,Graphics and Visualization,GV,,"Basic radiometry, similar triangles, and projection model",
GV-02-05,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Affine and coordinate system transformations,
GV-02-06,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Ray tracing,
GV-02-07,GV-02,Basic Rendering ,Graphics and Visualization,GV,,"Visibility and occlusion, including solutions to this problem such as depth buffering, Painter’s algorithm, ",
GV-02-08,GV-02,Basic Rendering ,Graphics and Visualization,GV,,The forward and backward rendering equation,
GV-02-09,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Simple triangle rasterization,
GV-02-10,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Rendering with a shader-based API,
GV-02-11,GV-02,Basic Rendering ,Graphics and Visualization,GV,,"Texture mapping, including minification and magnification (e.g., trilinear MIP-mapping)",
GV-02-12,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Application of spatial data structures to rendering,
GV-02-13,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Sampling and anti-aliasing,
GV-02-14,GV-02,Basic Rendering ,Graphics and Visualization,GV,,Scene graphs and the graphics pipeline,
GV-03-01,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Basic geometric operations such as intersection calculation and proximity tests,
GV-03-02,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,"Volumes, voxels, and point-based representations",
GV-03-03,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Parametricpolynomial curves and surfaces,
GV-03-04,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Implicit representation of curves and surfaces,
GV-03-05,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,"Approximation techniques such as polynomial curves, Bezier curves, spline curves and surfaces, and non-",
