topicId,topic,domainId,subdomain,subdomainId,domain,tier,courses
AL-03-10,"Pattern matching and string/text algorithms (e.g., substring matching, regular expression matching, longest ",AL,Fundamental Data Structures and Algorithms ,AL-03,Algorithms and Complexity,Tier 2,COMP 3601
AL-04-01,Finite-state machines,AL,Basic Automata Computability and Complexity,AL-04,Algorithms and Complexity,Tier 1,COMP 3602
AL-04-02,Regular expressions,AL,Basic Automata Computability and Complexity,AL-04,Algorithms and Complexity,Tier 1,COMP 3602
AL-04-03,The halting problem,AL,Basic Automata Computability and Complexity,AL-04,Algorithms and Complexity,Tier 1,
AL-04-04,Context-free grammars (cross-reference PL/Syntax Analysis),AL,Basic Automata Computability and Complexity,AL-04,Algorithms and Complexity,Tier 2,COMP 3602
AL-04-05,Introduction to the P and NP classes and the P vs. NP problem,AL,Basic Automata Computability and Complexity,AL-04,Algorithms and Complexity,Tier 2,
AL-04-06,"Introduction to the NP-complete class and exemplary NP-complete problems (e.g., SAT, Knapsack)",AL,Basic Automata Computability and Complexity,AL-04,Algorithms and Complexity,Tier 2,
AL-05-01,Review of the classes P and NP; introduce P-space and EXP,AL,Advanced Computational Complexity,AL-05,Algorithms and Complexity,Elective,
AL-05-02,Polynomial hierarchy,AL,Advanced Computational Complexity,AL-05,Algorithms and Complexity,Elective,
AL-05-03,NP-completeness (Cook’s theorem),AL,Advanced Computational Complexity,AL-05,Algorithms and Complexity,Elective,
AL-05-04,Classic NP-complete problems,AL,Advanced Computational Complexity,AL-05,Algorithms and Complexity,Elective,
AL-05-05,Reduction Techniques,AL,Advanced Computational Complexity,AL-05,Algorithms and Complexity,Elective,
AL-06-01,Sets and languages,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,COMP 3602
AL-06-02,Context-free languages,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,COMP 3602
AL-06-03,"Turing machines, or an equivalent formal model of universal computation",AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-06-04,Nondeterministic Turing machines,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-06-05,Chomsky hierarchy,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-06-06,The Church-Turing thesis,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-06-07,Computability,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-06-08,Rice’s Theorem,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-06-09,Examples of uncomputable functions,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-06-10,Implications of uncomputability,AL,Advanced Automata Theory and Computability ,AL-06,Algorithms and Complexity,Elective,
AL-07-01,"Balanced trees (e.g., AVL trees, red-black trees, splay trees, treaps)",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-02,"Graphs (e.g., topological sort, finding strongly connected components, matching)",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-03,"Advanced data structures (e.g., B-trees, Fibonacci heaps)",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-04,"String-based data structures and algorithms (e.g., suffix arrays, suffix trees, tries)",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-05,"Network flows (e.g., max flow [Ford-Fulkerson algorithm], max flow – min cut, maximum bipartite ",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-06,"Linear Programming (e.g.,duality, simplex method, interior point algorithms)",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-07,"Number-theoretic algorithms (e.g., modular arithmetic, primality testing, integer factorization)",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-08,"Geometric algorithms (e.g., points, line segments, polygons. [properties, intersections], finding convex hull, ",AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-09,Randomized algorithms,AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-10,Stochastic algorithms,AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-11,Approximation algorithms,AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-12,Amortized analysis,AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-13,Probabilistic analysis,AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AL-07-14,Online algorithms and competitive analysis,AL,Advanced Data Structures Algorithms and Analysis ,AL-07,Algorithms and Complexity,Elective,
AR-01-01,Overview and history of computer architecture,AR,Digital Logic and Digital Systems ,AR-01,Architecture and Organization,Tier 2,"COMP 2601,INFO 2603"
AR-01-02,Combinational vs. sequential logic/Field programmable gate arrays as a fundamental combinational + ,AR,Digital Logic and Digital Systems ,AR-01,Architecture and Organization,Tier 2,COMP 2601
AR-01-03,Multiple representations/layers of interpretation (hardware is just another layer),AR,Digital Logic and Digital Systems ,AR-01,Architecture and Organization,Tier 2,COMP 2601
AR-01-04,Computer-aided design tools that process hardware and architectural representations,AR,Digital Logic and Digital Systems ,AR-01,Architecture and Organization,Tier 2,
AR-01-05,Register transfer notation/Hardware Description Language (Verilog/VHDL),AR,Digital Logic and Digital Systems ,AR-01,Architecture and Organization,Tier 2,
AR-01-06,"Physical constraints (gate delays, fan-in, fan-out, energy/power)",AR,Digital Logic and Digital Systems ,AR-01,Architecture and Organization,Tier 2,COMP 2601
AR-02-01,"Bits, bytes, and words",AR,Machine Level Representation of Data ,AR-02,Architecture and Organization,Tier 2,"COMP 1600,COMP 2601"
AR-02-02,Numeric data representation and number bases,AR,Machine Level Representation of Data ,AR-02,Architecture and Organization,Tier 2,"COMP 1600,COMP 2601"
AR-02-03,Fixed- and floating-point systems,AR,Machine Level Representation of Data ,AR-02,Architecture and Organization,Tier 2,COMP 2601
AR-02-04,Signed and twos-complement representations,AR,Machine Level Representation of Data ,AR-02,Architecture and Organization,Tier 2,COMP 2601
AR-02-05,"Representation of non-numeric data (character codes, graphical data)",AR,Machine Level Representation of Data ,AR-02,Architecture and Organization,Tier 2,COMP 2601
AR-02-06,Representation of records and arrays,AR,Machine Level Representation of Data ,AR-02,Architecture and Organization,Tier 2,COMP 2601
AR-03-01,Basic organization of the von Neumann machine,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,"COMP 2601,INFO 2603"
AR-03-02,"Control unit; instruction fetch, decode, and execution",AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-03-03,"Instruction sets and types (data manipulation, control, I/O)",AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,"COMP 1600,COMP 2601"
AR-03-04,Assembly/machine language programming,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-03-05,Instruction formats,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-03-06,Addressing modes,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-03-07,Subroutine call and return mechanisms (cross-referencePL/Language Translation and Execution),AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-03-08,I/O and interrupts,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,"COMP 1600,COMP 2601"
AR-03-09,Heap vs. Static vs. Stack vs. Code segments,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-03-10,Shared memory multiprocessors/multicore organization,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-03-11,Introduction to SIMD vs. MIMD and the Flynn Taxonomy,AR,Assembly Level Machine Organization ,AR-03,Architecture and Organization,Tier 2,COMP 2601
AR-04-01,Storage systems and their technology,AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-04-02,Memory hierarchy: importance of temporal and spatial locality,AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-04-03,Main memory organization and operations,AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-04-04,"Latency, cycle time, bandwidth, and interleaving",AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-04-05,"Cache memories (address mapping, block size, replacement and store policy)",AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,"COMP 1600,COMP 2601"
AR-04-06,Multiprocessor cache consistency/Using the memory system for inter-core synchronization/atomic memory ,AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-04-07,"Virtual memory (page table, TLB)",AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-04-08,Fault handling and reliability,AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-04-09,"Error coding, data compression, and data integrity (cross-referenceSF/Reliability through Redundancy)",AR,Memory System Organization and Architecture ,AR-04,Architecture and Organization,Tier 2,COMP 2601
AR-05-01,"I/O fundamentals: handshaking, buffering, programmed I/O, interrupt-driven I/O",AR,Interfacing and  C ommunication ,AR-05,Architecture and Organization,Tier 2,COMP 2601
AR-05-02,"Interrupt structures: vectoredand prioritized, interrupt acknowledgment",AR,Interfacing and  C ommunication ,AR-05,Architecture and Organization,Tier 2,COMP 2601
AR-05-03,"External storage, physical organization, and drives",AR,Interfacing and  C ommunication ,AR-05,Architecture and Organization,Tier 2,COMP 2601
AR-05-04,"Buses: bus protocols, arbitration, direct-memory access (DMA)",AR,Interfacing and  C ommunication ,AR-05,Architecture and Organization,Tier 2,COMP 2601
AR-05-05,Introduction to networks: communications networks as another layer of remote access,AR,Interfacing and  C ommunication ,AR-05,Architecture and Organization,Tier 2,COMP 2601
AR-05-06,Multimedia support,AR,Interfacing and  C ommunication ,AR-05,Architecture and Organization,Tier 2,COMP 2601
AR-05-07,RAID architectures,AR,Interfacing and  C ommunication ,AR-05,Architecture and Organization,Tier 2,COMP 2601
AR-06-01,"Implementation of simple datapaths, including instruction pipelining, hazard detection and resolution",AR,Functional Organization ,AR-06,Architecture and Organization,Elective,COMP 2601
AR-06-02,Control unit: hardwired realization vs. microprogrammed realization,AR,Functional Organization ,AR-06,Architecture and Organization,Elective,COMP 2601
AR-06-03,Instruction pipelining,AR,Functional Organization ,AR-06,Architecture and Organization,Elective,COMP 2601
AR-06-04,Introduction to instruction-level parallelism (ILP),AR,Functional Organization ,AR-06,Architecture and Organization,Elective,COMP 2601
AR-07-01,Power Law,AR,Multiprocessing and Alternative Architectures ,AR-07,Architecture and Organization,Elective,
AR-07-02,Example SIMD and MIMD instruction sets and architectures,AR,Multiprocessing and Alternative Architectures ,AR-07,Architecture and Organization,Elective,COMP 2601
AR-07-03,"Interconnection networks (hypercube, shuffle-exchange, mesh, crossbar)",AR,Multiprocessing and Alternative Architectures ,AR-07,Architecture and Organization,Elective,
AR-07-04,Shared multiprocessor memory systems and memory consistency,AR,Multiprocessing and Alternative Architectures ,AR-07,Architecture and Organization,Elective,
AR-07-05,Multiprocessor cache coherence,AR,Multiprocessing and Alternative Architectures ,AR-07,Architecture and Organization,Elective,COMP 2601
AR-08-01,Superscalar architecture,AR,Performance Enhancements ,AR-08,Architecture and Organization,Elective,COMP 2601
AR-08-02,"Branch prediction, Speculative execution, Out-of-order execution",AR,Performance Enhancements ,AR-08,Architecture and Organization,Elective,COMP 2601
AR-08-03,Prefetching,AR,Performance Enhancements ,AR-08,Architecture and Organization,Elective,COMP 2601
AR-08-04,Vector processors and GPUs,AR,Performance Enhancements ,AR-08,Architecture and Organization,Elective,
AR-08-05,Hardware support for multithreading,AR,Performance Enhancements ,AR-08,Architecture and Organization,Elective,COMP 2601
AR-08-06,Scalability,AR,Performance Enhancements ,AR-08,Architecture and Organization,Elective,COMP 2601
AR-08-07,"Alternative architectures, such as VLIW/EPIC, and Accelerators and other kinds of Special-Purpose ",AR,Performance Enhancements ,AR-08,Architecture and Organization,Elective,
CN-01-01,Models as abstractions of situations,CN,Introduction to Modeling and Simulation,CN-01,Computational Science,Tier 1,"COMP 3607,COMP 3611"
CN-01-02,Simulations as dynamic modeling,CN,Introduction to Modeling and Simulation,CN-01,Computational Science,Tier 1,COMP 3611
CN-01-03,"Simulation techniques and tools, such as physical simulations, human-in-the-loop guided simulations, and ",CN,Introduction to Modeling and Simulation,CN-01,Computational Science,Tier 1,
CN-01-04,"Foundational approaches to validating models(e.g., comparing a simulation’s output to real data or the ",CN,Introduction to Modeling and Simulation,CN-01,Computational Science,Tier 1,COMP 3611
CN-01-05,Presentation of results in a form relevant to the system being modeled,CN,Introduction to Modeling and Simulation,CN-01,Computational Science,Tier 1,COMP 3611
CN-02-01,"Purpose of modeling and simulation including optimization; supporting decision making, forecasting, ",CN,Modeling and Simulation ,CN-02,Computational Science,Elective,COMP 3611
CN-02-02,"Tradeoffs including performance, accuracy, validity, and complexity",CN,Modeling and Simulation ,CN-02,Computational Science,Elective,COMP 3611
CN-02-03,"The simulation process; identification ofkey characteristics or behaviors, simplifying assumptions; ",CN,Modeling and Simulation ,CN-02,Computational Science,Elective,COMP 3611
CN-02-04,"Model building: use of mathematical formulas or equations, graphs, constraints; methodologies and ",CN,Modeling and Simulation ,CN-02,Computational Science,Elective,COMP 3611
CN-02-05,Formal models and modeling techniques:  mathematical descriptions involving simplifying assumptions ,CN,Modeling and Simulation ,CN-02,Computational Science,Elective,COMP 3611
CN-02-06,Assessing and evaluating models and simulations in a variety of contexts; verification and validation of ,CN,Modeling and Simulation ,CN-02,Computational Science,Elective,COMP 3611
CN-02-07,"Important application areas including health care and diagnostics, economics and finance, city and urban ",CN,Modeling and Simulation ,CN-02,Computational Science,Elective,
CN-02-08,"Software in support of simulation and modeling; packages, languages",CN,Modeling and Simulation ,CN-02,Computational Science,Elective,
CN-03-01,Fundamental programming concepts:,CN,Processing ,CN-03,Computational Science,Elective,
CN-03-02,Numerical methods,CN,Processing ,CN-03,Computational Science,Elective,
CN-03-03,Fundamental properties of parallel and distributed computation:,CN,Processing ,CN-03,Computational Science,Elective,
CN-03-04,"Computing costs, e.g., the cost of re-computing  a value vs. the cost of storing and lookup.",CN,Processing ,CN-03,Computational Science,Elective,
CN-04-01,Principles of data visualization,CN,Interactive Visualization ,CN-04,Computational Science,Elective,
CN-04-02,Graphing and visualization algorithms,CN,Interactive Visualization ,CN-04,Computational Science,Elective,
CN-04-03,Image processing techniques,CN,Interactive Visualization ,CN-04,Computational Science,Elective,
CN-04-04,Scalability concerns,CN,Interactive Visualization ,CN-04,Computational Science,Elective,
CN-05-01,"Content management models, frameworks, systems, design methods (asin IM. Information Management)",CN,"Data, Information, and Knowledge ",CN-05,Computational Science,Elective,
CN-05-02,"Digital representations of content including numbers, text, images (e.g., raster and vector), video (e.g., ",CN,"Data, Information, and Knowledge ",CN-05,Computational Science,Elective,
CN-05-03,"Digital content creation/capture and preservation, including digitization, sampling, compression, ",CN,"Data, Information, and Knowledge ",CN-05,Computational Science,Elective,
CN-05-04,"Content structure / management, including digital libraries and static/dynamic/stream aspects for:",CN,"Data, Information, and Knowledge ",CN-05,Computational Science,Elective,
CN-05-05,"Processing and pattern recognition, including indexing, searching (including: queries and query languages; ",CN,"Data, Information, and Knowledge ",CN-05,Computational Science,Elective,
CN-05-06,"User / society support for presentation and interaction, including browse, search, filter, route, visualize, ",CN,"Data, Information, and Knowledge ",CN-05,Computational Science,Elective,
CN-05-07,"Modeling, design, logical and physical implementation, using relevant systems/software",CN,"Data, Information, and Knowledge ",CN-05,Computational Science,Elective,
CN-06-01,"Error, stability, convergence, including truncation and round-off",CN,Numerical Analysis ,CN-06,Computational Science,Elective,
CN-06-02,"Function approximationincluding Taylor’s series, interpolation, extrapolation, and regression",CN,Numerical Analysis ,CN-06,Computational Science,Elective,
CN-06-03,"Numerical differentiation and integration (Simpson’s Rule, explicit and implicit methods) ",CN,Numerical Analysis ,CN-06,Computational Science,Elective,
CN-06-04,"Differential equations (Euler’s Method, finite differences) ",CN,Numerical Analysis ,CN-06,Computational Science,Elective,
DS-01-01,Sets,DS,"Sets, Relations, and Functions ",DS-01,Discrete Structures,Tier 1,COMP 1604
DS-01-02,Relations,DS,"Sets, Relations, and Functions ",DS-01,Discrete Structures,Tier 1,COMP 1604
DS-01-03,Functions,DS,"Sets, Relations, and Functions ",DS-01,Discrete Structures,Tier 1,COMP 1604
DS-02-01,Propositional logic (cross-reference: Propositional logic is also reviewed in  IS/Knowledge Based ,DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-02-02,Logical connectives,DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-02-03,Truth tables,DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-02-04,Normal forms (conjunctive and disjunctive),DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-02-05,Validity of well-formed formula,DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-02-06,Propositional inference rules (concepts of modus ponens and modus tollens),DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-02-07,Predicate logic,DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-02-08,"Limitations of propositional and predicate logic (e.g., expressiveness issues)",DS,Basic Logic,DS-02,Discrete Structures,Tier 1,COMP 1604
DS-03-01,"Notions of implication, equivalence, converse, inverse, contrapositive, negation, and contradiction",DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-02,The structure of mathematical proofs,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-03,Direct proofs,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-04,Disproving by counterexample,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-05,Proof by contradiction,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-06,Induction over natural numbers,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-07,Structural induction ,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-08,"Weak and strong induction (i.e., First and Second Principle of Induction)",DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-09,Recursive mathematical definitions,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 1,COMP 1604
DS-03-10,Well orderings,DS,Proof Techniques ,DS-03,Discrete Structures,Tier 2,
DS-04-01,Counting arguments,DS,Basics of Counting,DS-04,Discrete Structures,Tier 1,COMP 1604
DS-04-02,The pigeonhole principle,DS,Basics of Counting,DS-04,Discrete Structures,Tier 1,COMP 1604
DS-04-03,Permutations and combinations,DS,Basics of Counting,DS-04,Discrete Structures,Tier 1,COMP 1604
DS-04-04,Solving recurrence relations (cross-reference: AL/Basic Analysis),DS,Basics of Counting,DS-04,Discrete Structures,Tier 1,COMP 1604
DS-04-05,Basic modular arithmetic,DS,Basics of Counting,DS-04,Discrete Structures,Tier 1,COMP 1604
DS-05-01,Trees,DS,Graphs and Trees ,DS-05,Discrete Structures,Tier 1,COMP 2611
DS-05-02,Undirected graphs,DS,Graphs and Trees ,DS-05,Discrete Structures,Tier 1,COMP 2611
DS-05-03,Directed graphs,DS,Graphs and Trees ,DS-05,Discrete Structures,Tier 1,COMP 2611
DS-05-04,Weighted graphs,DS,Graphs and Trees ,DS-05,Discrete Structures,Tier 1,COMP 2611
DS-05-05,Spanning trees/forests,DS,Graphs and Trees ,DS-05,Discrete Structures,Tier 2,COMP 2611
DS-05-06,Graph isomorphism,DS,Graphs and Trees ,DS-05,Discrete Structures,Tier 2,
DS-06-01,"Finite probability space, events",DS,Discrete Probability ,DS-06,Discrete Structures,Tier 1,MATH 2250
DS-06-02,Axioms of probability and probability measures,DS,Discrete Probability ,DS-06,Discrete Structures,Tier 1,MATH 2250
DS-06-03,"Conditional probability, Bayes’ theorem",DS,Discrete Probability ,DS-06,Discrete Structures,Tier 1,MATH 2250
DS-06-04,Independence,DS,Discrete Probability ,DS-06,Discrete Structures,Tier 1,MATH 2250
DS-06-05,"Integer random variables (Bernoulli, binomial)",DS,Discrete Probability ,DS-06,Discrete Structures,Tier 1,MATH 2250
DS-06-06,"Expectation, including Linearity of Expectation ",DS,Discrete Probability ,DS-06,Discrete Structures,Tier 1,MATH 2250
DS-06-07,Variance,DS,Discrete Probability ,DS-06,Discrete Structures,Tier 2,MATH 2250
DS-06-08,Conditional Independence,DS,Discrete Probability ,DS-06,Discrete Structures,Tier 2,MATH 2250
GV-01-01,"Media applications including user interfaces, audio and videoediting, game engines, cad, visualization, ",GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Tier 1,
GV-01-02,"Digitization of analog data, resolution,and the limits of human perception, e.g., pixels for visual display, ",GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Tier 1,
GV-01-03,Use of standard APIs for the construction of UIs and display of standard mediaformats (see HCI/GUI ,GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Tier 1,COMP 3609
GV-01-04,"Standard mediaformats, including lossless and lossy formats",GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Tier 1,
GV-01-05,Additive and subtractive color models (CMYK and RGB) and why these provide a range of colors,GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Tier 2,
GV-01-06,Tradeoffs between storing data and re-computing data as embodied by vector and raster representations of ,GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Tier 2,
GV-01-07,Animation as a sequence of still images,GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Tier 2,COMP 3609
GV-01-08,Double buffering,GV,Fundamental Concepts ,GV-01,Graphics and Visualization,Elective,
GV-02-01,"Rendering in nature, e.g., the emission and scattering of light and its relation to numerical integration",GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-02,"Forward and backward rendering (i.e.,ray-casting and rasterization)",GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-03,Polygonal representation,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-04,"Basic radiometry, similar triangles, and projection model",GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-05,Affine and coordinate system transformations,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-06,Ray tracing,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-07,"Visibility and occlusion, including solutions to this problem such as depth buffering, Painter’s algorithm, ",GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-08,The forward and backward rendering equation,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-09,Simple triangle rasterization,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-10,Rendering with a shader-based API,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-11,"Texture mapping, including minification and magnification (e.g., trilinear MIP-mapping)",GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-12,Application of spatial data structures to rendering,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-13,Sampling and anti-aliasing,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
GV-02-14,Scene graphs and the graphics pipeline,GV,Basic Rendering ,GV-02,Graphics and Visualization,Elective,
