breakdown,topic,domainId,domain,subdomain,subdomainId,topicId,tier,New Topic
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ",Graphs and graph algorithms,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-07,Tier 1,AL-03-07
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ",Heaps,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-08,Tier 2,AL-03-08
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ",Graphs and graph algorithms,AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-09,Tier 2,AL-03-09
"[9 Core-Tier1 hours, 3 Core-Tier2 hours] ","Pattern matching and string/text algorithms (e.g., substring matching, regular expression matching, longest ",AL,Algorithms and Complexity,Fundamental Data Structures and Algorithms ,AL-03,AL-03-10,Tier 2,AL-03-10
"[3 Core-Tier1 hours, 3 Core-Tier2 hours] ",Finite-state machines,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,AL-04-01,Tier 1,AL-04-01
"[3 Core-Tier1 hours, 3 Core-Tier2 hours] ",Regular expressions,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,AL-04-02,Tier 1,AL-04-02
"[3 Core-Tier1 hours, 3 Core-Tier2 hours] ",The halting problem,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,AL-04-03,Tier 1,AL-04-03
"[3 Core-Tier1 hours, 3 Core-Tier2 hours] ",Context-free grammars (cross-reference PL/Syntax Analysis),AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,AL-04-04,Tier 2,AL-04-04
"[3 Core-Tier1 hours, 3 Core-Tier2 hours] ",Introduction to the P and NP classes and the P vs. NP problem,AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,AL-04-05,Tier 2,AL-04-05
"[3 Core-Tier1 hours, 3 Core-Tier2 hours] ","Introduction to the NP-complete class and exemplary NP-complete problems (e.g., SAT, Knapsack)",AL,Algorithms and Complexity,Basic Automata Computability and Complexity,AL-04,AL-04-06,Tier 2,AL-04-06
[Elective] ,Review of the classes P and NP; introduce P-space and EXP,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,AL-05-01,Elective,AL-05-01
[Elective] ,Polynomial hierarchy,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,AL-05-02,Elective,AL-05-02
[Elective] ,NP-completeness (Cook’s theorem),AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,AL-05-03,Elective,AL-05-03
[Elective] ,Classic NP-complete problems,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,AL-05-04,Elective,AL-05-04
[Elective] ,Reduction Techniques,AL,Algorithms and Complexity,Advanced Computational Complexity,AL-05,AL-05-05,Elective,AL-05-05
[Elective] ,Sets and languages,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-01,Elective,AL-06-01
[Elective] ,Context-free languages,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-02,Elective,AL-06-02
[Elective] ,"Turing machines, or an equivalent formal model of universal computation",AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-03,Elective,AL-06-03
[Elective] ,Nondeterministic Turing machines,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-04,Elective,AL-06-04
[Elective] ,Chomsky hierarchy,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-05,Elective,AL-06-05
[Elective] ,The Church-Turing thesis,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-06,Elective,AL-06-06
[Elective] ,Computability,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-07,Elective,AL-06-07
[Elective] ,Rice’s Theorem,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-08,Elective,AL-06-08
[Elective] ,Examples of uncomputable functions,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-09,Elective,AL-06-09
[Elective] ,Implications of uncomputability,AL,Algorithms and Complexity,Advanced Automata Theory and Computability ,AL-06,AL-06-10,Elective,AL-06-10
[Elective] ,"Balanced trees (e.g., AVL trees, red-black trees, splay trees, treaps)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-01,Elective,AL-07-01
[Elective] ,"Graphs (e.g., topological sort, finding strongly connected components, matching)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-02,Elective,AL-07-02
[Elective] ,"Advanced data structures (e.g., B-trees, Fibonacci heaps)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-03,Elective,AL-07-03
[Elective] ,"String-based data structures and algorithms (e.g., suffix arrays, suffix trees, tries)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-04,Elective,AL-07-04
[Elective] ,"Network flows (e.g., max flow [Ford-Fulkerson algorithm], max flow – min cut, maximum bipartite ",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-05,Elective,AL-07-05
[Elective] ,"Linear Programming (e.g.,duality, simplex method, interior point algorithms)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-06,Elective,AL-07-06
[Elective] ,"Number-theoretic algorithms (e.g., modular arithmetic, primality testing, integer factorization)",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-07,Elective,AL-07-07
[Elective] ,"Geometric algorithms (e.g., points, line segments, polygons. [properties, intersections], finding convex hull, ",AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-08,Elective,AL-07-08
[Elective] ,Randomized algorithms,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-09,Elective,AL-07-09
[Elective] ,Stochastic algorithms,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-10,Elective,AL-07-10
[Elective] ,Approximation algorithms,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-11,Elective,AL-07-11
[Elective] ,Amortized analysis,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-12,Elective,AL-07-12
[Elective] ,Probabilistic analysis,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-13,Elective,AL-07-13
[Elective] ,Online algorithms and competitive analysis,AL,Algorithms and Complexity,Advanced Data Structures Algorithms and Analysis ,AL-07,AL-07-14,Elective,AL-07-14
[3 Core-Tier2 hours] ,Overview and history of computer architecture,AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-08,AR-08-01,Tier 2,AR-01-01
[3 Core-Tier2 hours] ,Combinational vs. sequential logic/Field programmable gate arrays as a fundamental combinational + ,AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-08,AR-08-02,Tier 2,AR-01-02
[3 Core-Tier2 hours] ,Multiple representations/layers of interpretation (hardware is just another layer),AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-08,AR-08-03,Tier 2,AR-01-03
[3 Core-Tier2 hours] ,Computer-aided design tools that process hardware and architectural representations,AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-08,AR-08-04,Tier 2,AR-01-04
[3 Core-Tier2 hours] ,Register transfer notation/Hardware Description Language (Verilog/VHDL),AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-08,AR-08-05,Tier 2,AR-01-05
[3 Core-Tier2 hours] ,"Physical constraints (gate delays, fan-in, fan-out, energy/power)",AR,Architecture and Organization,Digital Logic and Digital Systems ,AR-08,AR-08-06,Tier 2,AR-01-06
[3 Core-Tier2 hours] ,"Bits, bytes, and words",AR,Architecture and Organization,Machine Level Representation of Data ,AR-09,AR-09-01,Tier 2,AR-02-01
[3 Core-Tier2 hours] ,Numeric data representation and number bases,AR,Architecture and Organization,Machine Level Representation of Data ,AR-09,AR-09-02,Tier 2,AR-02-02
[3 Core-Tier2 hours] ,Fixed- and floating-point systems,AR,Architecture and Organization,Machine Level Representation of Data ,AR-09,AR-09-03,Tier 2,AR-02-03
[3 Core-Tier2 hours] ,Signed and twos-complement representations,AR,Architecture and Organization,Machine Level Representation of Data ,AR-09,AR-09-04,Tier 2,AR-02-04
[3 Core-Tier2 hours] ,"Representation of non-numeric data (character codes, graphical data)",AR,Architecture and Organization,Machine Level Representation of Data ,AR-09,AR-09-05,Tier 2,AR-02-05
[3 Core-Tier2 hours] ,Representation of records and arrays,AR,Architecture and Organization,Machine Level Representation of Data ,AR-09,AR-09-06,Tier 2,AR-02-06
[6 Core-Tier2 hours] ,Basic organization of the von Neumann machine,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-01,Tier 2,AR-03-01
[6 Core-Tier2 hours] ,"Control unit; instruction fetch, decode, and execution",AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-02,Tier 2,AR-03-02
[6 Core-Tier2 hours] ,"Instruction sets and types (data manipulation, control, I/O)",AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-03,Tier 2,AR-03-03
[6 Core-Tier2 hours] ,Assembly/machine language programming,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-04,Tier 2,AR-03-04
[6 Core-Tier2 hours] ,Instruction formats,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-05,Tier 2,AR-03-05
[6 Core-Tier2 hours] ,Addressing modes,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-06,Tier 2,AR-03-06
[6 Core-Tier2 hours] ,Subroutine call and return mechanisms (cross-referencePL/Language Translation and Execution),AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-07,Tier 2,AR-03-07
[6 Core-Tier2 hours] ,I/O and interrupts,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-08,Tier 2,AR-03-08
[6 Core-Tier2 hours] ,Heap vs. Static vs. Stack vs. Code segments,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-09,Tier 2,AR-03-09
[6 Core-Tier2 hours] ,Shared memory multiprocessors/multicore organization,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-10,Tier 2,AR-03-10
[6 Core-Tier2 hours] ,Introduction to SIMD vs. MIMD and the Flynn Taxonomy,AR,Architecture and Organization,Assembly Level Machine Organization ,AR-10,AR-10-11,Tier 2,AR-03-11
[3 Core-Tier2 hours] ,Storage systems and their technology,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-01,Tier 2,AR-04-01
[3 Core-Tier2 hours] ,Memory hierarchy: importance of temporal and spatial locality,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-02,Tier 2,AR-04-02
[3 Core-Tier2 hours] ,Main memory organization and operations,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-03,Tier 2,AR-04-03
[3 Core-Tier2 hours] ,"Latency, cycle time, bandwidth, and interleaving",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-04,Tier 2,AR-04-04
[3 Core-Tier2 hours] ,"Cache memories (address mapping, block size, replacement and store policy)",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-05,Tier 2,AR-04-05
[3 Core-Tier2 hours] ,Multiprocessor cache consistency/Using the memory system for inter-core synchronization/atomic memory ,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-06,Tier 2,AR-04-06
[3 Core-Tier2 hours] ,"Virtual memory (page table, TLB)",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-07,Tier 2,AR-04-07
[3 Core-Tier2 hours] ,Fault handling and reliability,AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-08,Tier 2,AR-04-08
[3 Core-Tier2 hours] ,"Error coding, data compression, and data integrity (cross-referenceSF/Reliability through Redundancy)",AR,Architecture and Organization,Memory System Organization and Architecture ,AR-11,AR-11-09,Tier 2,AR-04-09
[1 Core-Tier2 hour],"I/O fundamentals: handshaking, buffering, programmed I/O, interrupt-driven I/O",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-12,AR-12-01,Tier 2,AR-05-01
[1 Core-Tier2 hour],"Interrupt structures: vectoredand prioritized, interrupt acknowledgment",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-12,AR-12-02,Tier 2,AR-05-02
[1 Core-Tier2 hour],"External storage, physical organization, and drives",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-12,AR-12-03,Tier 2,AR-05-03
[1 Core-Tier2 hour],"Buses: bus protocols, arbitration, direct-memory access (DMA)",AR,Architecture and Organization,Interfacing and  C ommunication ,AR-12,AR-12-04,Tier 2,AR-05-04
[1 Core-Tier2 hour],Introduction to networks: communications networks as another layer of remote access,AR,Architecture and Organization,Interfacing and  C ommunication ,AR-12,AR-12-05,Tier 2,AR-05-05
[1 Core-Tier2 hour],Multimedia support,AR,Architecture and Organization,Interfacing and  C ommunication ,AR-12,AR-12-06,Tier 2,AR-05-06
[1 Core-Tier2 hour],RAID architectures,AR,Architecture and Organization,Interfacing and  C ommunication ,AR-12,AR-12-07,Tier 2,AR-05-07
[Elective],"Implementation of simple datapaths, including instruction pipelining, hazard detection and resolution",AR,Architecture and Organization,Functional Organization ,AR-13,AR-13-01,Elective,AR-06-01
[Elective],Control unit: hardwired realization vs. microprogrammed realization,AR,Architecture and Organization,Functional Organization ,AR-13,AR-13-02,Elective,AR-06-02
[Elective],Instruction pipelining,AR,Architecture and Organization,Functional Organization ,AR-13,AR-13-03,Elective,AR-06-03
[Elective],Introduction to instruction-level parallelism (ILP),AR,Architecture and Organization,Functional Organization ,AR-13,AR-13-04,Elective,AR-06-04
[Elective],Power Law,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-14,AR-14-01,Elective,AR-07-01
[Elective],Example SIMD and MIMD instruction sets and architectures,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-14,AR-14-02,Elective,AR-07-02
[Elective],"Interconnection networks (hypercube, shuffle-exchange, mesh, crossbar)",AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-14,AR-14-03,Elective,AR-07-03
[Elective],Shared multiprocessor memory systems and memory consistency,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-14,AR-14-04,Elective,AR-07-04
[Elective],Multiprocessor cache coherence,AR,Architecture and Organization,Multiprocessing and Alternative Architectures ,AR-14,AR-14-05,Elective,AR-07-05
[Elective],Superscalar architecture,AR,Architecture and Organization,Performance Enhancements ,AR-15,AR-15-01,Elective,AR-08-01
[Elective],"Branch prediction, Speculative execution, Out-of-order execution",AR,Architecture and Organization,Performance Enhancements ,AR-15,AR-15-02,Elective,AR-08-02
[Elective],Prefetching,AR,Architecture and Organization,Performance Enhancements ,AR-15,AR-15-03,Elective,AR-08-03
[Elective],Vector processors and GPUs,AR,Architecture and Organization,Performance Enhancements ,AR-15,AR-15-04,Elective,AR-08-04
[Elective],Hardware support for multithreading,AR,Architecture and Organization,Performance Enhancements ,AR-15,AR-15-05,Elective,AR-08-05
[Elective],Scalability,AR,Architecture and Organization,Performance Enhancements ,AR-15,AR-15-06,Elective,AR-08-06
[Elective],"Alternative architectures, such as VLIW/EPIC, and Accelerators and other kinds of Special-Purpose ",AR,Architecture and Organization,Performance Enhancements ,AR-15,AR-15-07,Elective,AR-08-07
[1 Core-Tier1 hours] ,Models as abstractions of situations,CN,Computational Science,Introduction to Modeling and Simulation,CN-16,CN-16-01,Tier 1,CN-01-01
[1 Core-Tier1 hours] ,Simulations as dynamic modeling,CN,Computational Science,Introduction to Modeling and Simulation,CN-16,CN-16-02,Tier 1,CN-01-02
[1 Core-Tier1 hours] ,"Simulation techniques and tools, such as physical simulations, human-in-the-loop guided simulations, and ",CN,Computational Science,Introduction to Modeling and Simulation,CN-16,CN-16-03,Tier 1,CN-01-03
[1 Core-Tier1 hours] ,"Foundational approaches to validating models(e.g., comparing a simulation’s output to real data or the ",CN,Computational Science,Introduction to Modeling and Simulation,CN-16,CN-16-04,Tier 1,CN-01-04
[1 Core-Tier1 hours] ,Presentation of results in a form relevant to the system being modeled,CN,Computational Science,Introduction to Modeling and Simulation,CN-16,CN-16-05,Tier 1,CN-01-05
[Elective] ,"Purpose of modeling and simulation including optimization; supporting decision making, forecasting, ",CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-01,Elective,CN-02-01
[Elective] ,"Tradeoffs including performance, accuracy, validity, and complexity",CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-02,Elective,CN-02-02
[Elective] ,"The simulation process; identification ofkey characteristics or behaviors, simplifying assumptions; ",CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-03,Elective,CN-02-03
[Elective] ,"Model building: use of mathematical formulas or equations, graphs, constraints; methodologies and ",CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-04,Elective,CN-02-04
[Elective] ,Formal models and modeling techniques:  mathematical descriptions involving simplifying assumptions ,CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-05,Elective,CN-02-05
[Elective] ,Assessing and evaluating models and simulations in a variety of contexts; verification and validation of ,CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-06,Elective,CN-02-06
[Elective] ,"Important application areas including health care and diagnostics, economics and finance, city and urban ",CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-07,Elective,CN-02-07
[Elective] ,"Software in support of simulation and modeling; packages, languages",CN,Computational Science,Modeling and Simulation ,CN-17,CN-17-08,Elective,CN-02-08
[Elective] ,Fundamental programming concepts:,CN,Computational Science,Processing ,CN-18,CN-18-01,Elective,CN-03-01
[Elective] ,Numerical methods,CN,Computational Science,Processing ,CN-18,CN-18-02,Elective,CN-03-02
[Elective] ,Fundamental properties of parallel and distributed computation:,CN,Computational Science,Processing ,CN-18,CN-18-03,Elective,CN-03-03
[Elective] ,"Computing costs, e.g., the cost of re-computing  a value vs. the cost of storing and lookup.",CN,Computational Science,Processing ,CN-18,CN-18-04,Elective,CN-03-04
[Elective] ,Principles of data visualization,CN,Computational Science,Interactive Visualization ,CN-19,CN-19-01,Elective,CN-04-01
[Elective] ,Graphing and visualization algorithms,CN,Computational Science,Interactive Visualization ,CN-19,CN-19-02,Elective,CN-04-02
[Elective] ,Image processing techniques,CN,Computational Science,Interactive Visualization ,CN-19,CN-19-03,Elective,CN-04-03
[Elective] ,Scalability concerns,CN,Computational Science,Interactive Visualization ,CN-19,CN-19-04,Elective,CN-04-04
[Elective] ,"Content management models, frameworks, systems, design methods (asin IM. Information Management)",CN,Computational Science,"Data, Information, and Knowledge ",CN-20,CN-20-01,Elective,CN-05-01
[Elective] ,"Digital representations of content including numbers, text, images (e.g., raster and vector), video (e.g., ",CN,Computational Science,"Data, Information, and Knowledge ",CN-20,CN-20-02,Elective,CN-05-02
[Elective] ,"Digital content creation/capture and preservation, including digitization, sampling, compression, ",CN,Computational Science,"Data, Information, and Knowledge ",CN-20,CN-20-03,Elective,CN-05-03
[Elective] ,"Content structure / management, including digital libraries and static/dynamic/stream aspects for:",CN,Computational Science,"Data, Information, and Knowledge ",CN-20,CN-20-04,Elective,CN-05-04
[Elective] ,"Processing and pattern recognition, including indexing, searching (including: queries and query languages; ",CN,Computational Science,"Data, Information, and Knowledge ",CN-20,CN-20-05,Elective,CN-05-05
[Elective] ,"User / society support for presentation and interaction, including browse, search, filter, route, visualize, ",CN,Computational Science,"Data, Information, and Knowledge ",CN-20,CN-20-06,Elective,CN-05-06
[Elective] ,"Modeling, design, logical and physical implementation, using relevant systems/software",CN,Computational Science,"Data, Information, and Knowledge ",CN-20,CN-20-07,Elective,CN-05-07
[Elective] ,"Error, stability, convergence, including truncation and round-off",CN,Computational Science,Numerical Analysis ,CN-21,CN-21-01,Elective,CN-06-01
[Elective] ,"Function approximationincluding Taylor’s series, interpolation, extrapolation, and regression",CN,Computational Science,Numerical Analysis ,CN-21,CN-21-02,Elective,CN-06-02
[Elective] ,"Numerical differentiation and integration (Simpson’s Rule, explicit and implicit methods) ",CN,Computational Science,Numerical Analysis ,CN-21,CN-21-03,Elective,CN-06-03
[Elective] ,"Differential equations (Euler’s Method, finite differences) ",CN,Computational Science,Numerical Analysis ,CN-21,CN-21-04,Elective,CN-06-04
[4 Core-Tier1 hours],Sets,DS,Discrete Structures,"Sets, Relations, and Functions ",DS-22,DS-22-01,Tier 1,DS-01-01
[4 Core-Tier1 hours],Relations,DS,Discrete Structures,"Sets, Relations, and Functions ",DS-22,DS-22-02,Tier 1,DS-01-02
[4 Core-Tier1 hours],Functions,DS,Discrete Structures,"Sets, Relations, and Functions ",DS-22,DS-22-03,Tier 1,DS-01-03
[9 Core-Tier1 hours],Propositional logic (cross-reference: Propositional logic is also reviewed in  IS/Knowledge Based ,DS,Discrete Structures,Basic Logic,DS-23,DS-23-01,Tier 1,DS-02-01
[9 Core-Tier1 hours],Logical connectives,DS,Discrete Structures,Basic Logic,DS-23,DS-23-02,Tier 1,DS-02-02
[9 Core-Tier1 hours],Truth tables,DS,Discrete Structures,Basic Logic,DS-23,DS-23-03,Tier 1,DS-02-03
[9 Core-Tier1 hours],Normal forms (conjunctive and disjunctive),DS,Discrete Structures,Basic Logic,DS-23,DS-23-04,Tier 1,DS-02-04
[9 Core-Tier1 hours],Validity of well-formed formula,DS,Discrete Structures,Basic Logic,DS-23,DS-23-05,Tier 1,DS-02-05
[9 Core-Tier1 hours],Propositional inference rules (concepts of modus ponens and modus tollens),DS,Discrete Structures,Basic Logic,DS-23,DS-23-06,Tier 1,DS-02-06
[9 Core-Tier1 hours],Predicate logic,DS,Discrete Structures,Basic Logic,DS-23,DS-23-07,Tier 1,DS-02-07
[9 Core-Tier1 hours],"Limitations of propositional and predicate logic (e.g., expressiveness issues)",DS,Discrete Structures,Basic Logic,DS-23,DS-23-08,Tier 1,DS-02-08
"[10 Core-Tier1 hours, 1 Core-Tier2 hour]","Notions of implication, equivalence, converse, inverse, contrapositive, negation, and contradiction",DS,Discrete Structures,Proof Techniques ,DS-24,DS-24-01,Tier 1,DS-03-01
"[10 Core-Tier1 hours, 1 Core-Tier2 hour]",The structure of mathematical proofs,DS,Discrete Structures,Proof Techniques ,DS-24,DS-24-02,Tier 1,DS-03-02
"[10 Core-Tier1 hours, 1 Core-Tier2 hour]",Direct proofs,DS,Discrete Structures,Proof Techniques ,DS-24,DS-24-03,Tier 1,DS-03-03
"[10 Core-Tier1 hours, 1 Core-Tier2 hour]",Disproving by counterexample,DS,Discrete Structures,Proof Techniques ,DS-24,DS-24-04,Tier 1,DS-03-04
